model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen2.5-7b,A,1,0.037,R_harm,1.0,0.0010938260238617659,-0.00937500037252903
qwen2.5-7b,A,1,0.037,R_harm,-1.0,0.001967298099771142,0.02519531175494194
qwen2.5-7b,A,1,0.037,R_control,1.0,0.001218566088937223,0.004687500186264515
qwen2.5-7b,A,1,0.037,R_control,-1.0,0.0011387431295588613,-0.03515625
qwen2.5-7b,A,1,0.037,R_role,1.0,0.0037155081517994404,-0.05292968824505806
qwen2.5-7b,A,1,0.037,R_role,-1.0,0.0044669946655631065,0.033203125
qwen2.5-7b,A,2,0.0741,R_harm,1.0,0.0015174588188529015,-0.03691406175494194
qwen2.5-7b,A,2,0.0741,R_harm,-1.0,0.001518111675977707,0.00019531250291038305
qwen2.5-7b,A,2,0.0741,R_control,1.0,0.0016144076362252235,0.012500000186264515
qwen2.5-7b,A,2,0.0741,R_control,-1.0,0.0012021081056445837,0.008593750186264515
qwen2.5-7b,A,2,0.0741,R_role,1.0,0.008334447629749775,0.13457031548023224
qwen2.5-7b,A,2,0.0741,R_role,-1.0,0.007801458239555359,-0.09550781548023224
qwen2.5-7b,A,3,0.1111,R_harm,1.0,0.0030496190302073956,-0.02304687537252903
qwen2.5-7b,A,3,0.1111,R_harm,-1.0,0.0022247289307415485,0.04414062574505806
qwen2.5-7b,A,3,0.1111,R_control,1.0,0.0021691303700208664,0.0052734375931322575
qwen2.5-7b,A,3,0.1111,R_control,-1.0,0.0016060036141425371,-0.01835937425494194
qwen2.5-7b,A,3,0.1111,R_role,1.0,0.012005403637886047,0.02597656287252903
qwen2.5-7b,A,3,0.1111,R_role,-1.0,0.011694823391735554,0.09853515774011612
qwen2.5-7b,A,4,0.1481,R_harm,1.0,0.004808321595191956,-0.07402344048023224
qwen2.5-7b,A,4,0.1481,R_harm,-1.0,0.004628958646208048,0.06484375149011612
qwen2.5-7b,A,4,0.1481,R_control,1.0,0.0024375971406698227,0.0044921874068677425
qwen2.5-7b,A,4,0.1481,R_control,-1.0,0.002352388110011816,-0.01503906212747097
qwen2.5-7b,A,4,0.1481,R_role,1.0,0.021357834339141846,0.1064453125
qwen2.5-7b,A,4,0.1481,R_role,-1.0,0.020692776888608932,-0.18603515625
qwen2.5-7b,A,5,0.1852,R_harm,1.0,0.01529286801815033,-0.3642578125
qwen2.5-7b,A,5,0.1852,R_harm,-1.0,0.01192239299416542,0.3414062559604645
qwen2.5-7b,A,5,0.1852,R_control,1.0,0.006492161191999912,0.08847656100988388
qwen2.5-7b,A,5,0.1852,R_control,-1.0,0.006596573628485203,-0.12539061903953552
qwen2.5-7b,A,5,0.1852,R_role,1.0,0.030196789652109146,-0.16464844346046448
qwen2.5-7b,A,5,0.1852,R_role,-1.0,0.020760713145136833,-0.0050292969681322575
qwen2.5-7b,A,6,0.2222,R_harm,1.0,0.018819931894540787,-0.5892578363418579
qwen2.5-7b,A,6,0.2222,R_harm,-1.0,0.015259246341884136,0.47382813692092896
qwen2.5-7b,A,6,0.2222,R_control,1.0,0.0048116659745574,-0.12343750149011612
qwen2.5-7b,A,6,0.2222,R_control,-1.0,0.006654736585915089,0.06191406399011612
qwen2.5-7b,A,6,0.2222,R_role,1.0,0.046046555042266846,0.37714844942092896
qwen2.5-7b,A,6,0.2222,R_role,-1.0,0.0388660654425621,-0.08735351264476776
qwen2.5-7b,A,7,0.2593,R_harm,1.0,0.023350533097982407,-0.797656238079071
qwen2.5-7b,A,7,0.2593,R_harm,-1.0,0.021861795336008072,0.768750011920929
qwen2.5-7b,A,7,0.2593,R_control,1.0,0.007379426620900631,-0.11611328274011612
qwen2.5-7b,A,7,0.2593,R_control,-1.0,0.009860477410256863,0.0986328125
