model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,refusal_rate,d_refusal,d_refusal_harmful,d_refusal_harmless,margin_shift,class_gap
qwen2.5-7b,C,6,7,R_harm,R_harm,0.25,0.25,0.1899612993001938,0.18860054835677148,0.1912834133952856,0.0,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,0.25,0.25,-0.13069194555282593,-0.13197087831795215,-0.1294178906828165,-0.0012000054121017456,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,2.4142346382141113
qwen2.5-7b,C,6,7,R_harm,R_role,0.25,0.25,-0.000701274024322629,-0.0009267004788853228,-0.0004705630795797335,-0.0012000203132629395,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,0.25,0.25,0.011790493503212929,0.010646422882564366,0.012939052912406624,0.0,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,23.48501205444336
qwen2.5-7b,C,6,17,R_harm,R_control,0.25,0.25,-0.010569517500698566,-0.01248338569421321,-0.008624693262390794,-0.0028000473976135254,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,13.214834213256836
qwen2.5-7b,C,6,17,R_harm,R_role,0.25,0.25,-0.007966091856360435,-0.009066029498353601,-0.006900304707232864,0.0011999979615211487,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,22.735044479370117
qwen2.5-7b,C,6,27,R_harm,R_harm,0.25,0.25,0.002717244904488325,0.0012203953083371744,0.004073198873084038,-0.0004000067710876465,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,206.79986572265625
qwen2.5-7b,C,6,27,R_harm,R_control,0.25,0.25,-0.001769514405168593,-0.003258020040811971,-0.00043440515582915466,0.0004000067710876465,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,150.81204223632812
qwen2.5-7b,C,6,27,R_harm,R_role,0.25,0.25,-0.0060117896646261215,-0.008988307160325348,-0.0031253068475052734,-0.005199998617172241,0.0018625645898282528,0.0032253158278763294,0.0023504806304117665,1.3721941743086417,0.39,0.0,0.0,0.0,-0.13283203542232513,98.78836059570312
qwen2.5-7b,C,6,7,R_harm,R_harm,-0.25,0.25,-0.1922425627708435,-0.19356605932116508,-0.19090091735124587,0.0,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,-0.25,0.25,0.13283436000347137,0.13163778260350228,0.13402187414467334,0.00039999932050704956,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,2.4142346382141113
qwen2.5-7b,C,6,7,R_harm,R_role,-0.25,0.25,0.0008686863002367318,0.0006496554473415017,0.001117083616554737,-0.000800013542175293,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,-0.25,0.25,-0.010064102709293365,-0.011556005477905274,-0.008597727422602475,0.0003999471664428711,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,23.48501205444336
qwen2.5-7b,C,6,17,R_harm,R_control,-0.25,0.25,0.012051278725266457,0.009541687159799039,0.014592613140121096,0.0040000081062316895,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,13.214834213256836
qwen2.5-7b,C,6,17,R_harm,R_role,-0.25,0.25,0.005426791962236166,0.004321643803268671,0.006558571697678417,0.0007999986410140991,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,22.735044479370117
qwen2.5-7b,C,6,27,R_harm,R_harm,-0.25,0.25,-0.0009552380652166903,-0.00233101510675624,0.0005100048772874287,-0.0004000067710876465,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,206.79986572265625
qwen2.5-7b,C,6,27,R_harm,R_control,-0.25,0.25,0.00208112015388906,0.0008430323636275716,0.003423800051677971,0.0012000203132629395,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,150.81204223632812
qwen2.5-7b,C,6,27,R_harm,R_role,-0.25,0.25,0.0011167159536853433,-0.0025668637244962156,0.0048023512819781854,0.0059999823570251465,0.0021949545480310917,0.0033623373601585627,0.0023504806304117665,1.4304892865973267,0.39,0.0,0.0,0.0,0.10748046636581421,98.78836059570312
qwen2.5-7b,C,6,7,R_harm,R_harm,0.5,0.5,0.3784269392490387,0.37569736912846563,0.38110229969024656,0.0,0.005810612812638283,0.010251063853502274,0.005313879402820021,1.929111121351783,0.39,0.0,0.0,0.0,-0.23151367902755737,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,0.5,0.5,-0.26108992099761963,-0.26347263231873513,-0.2586394891142845,-0.0020000040531158447,0.005810612812638283,0.010251063853502274,0.005313879402820021,1.929111121351783,0.39,0.0,0.0,0.0,-0.23151367902755737,2.4142346382141113
qwen2.5-7b,C,6,7,R_harm,R_role,0.5,0.5,-0.0009752724436111748,-0.001270530855981633,-0.0006762817705748605,-0.0020000040531158447,0.005810612812638283,0.010251063853502274,0.005313879402820021,1.929111121351783,0.39,0.0,0.0,0.0,-0.23151367902755737,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,0.5,0.5,0.023274369537830353,0.021311158314347267,0.02534083486534655,-0.000800013542175293,0.005810612812638283,0.010251063853502274,0.005313879402820021,1.929111121351783,0.39,0.0,0.0,0.0,-0.23151367902755737,23.48501205444336
qwen2.5-7b,C,6,17,R_harm,R_control,0.5,0.5,-0.02282647415995598,-0.02644363483414054,-0.019366881018504502,-0.0020000338554382324,0.005810612812638283,0.010251063853502274,0.005313879402820021,1.929111121351783,0.39,0.0,0.0,0.0,-0.23151367902755737,13.214834213256836
qwen2.5-7b,C,6,17,R_harm,R_role,0.5,0.5,-0.015489933080971241,-0.017398301931098103,-0.013591348729096356,0.003600001335144043,0.005810612812638283,0.010251063853502274,0.005313879402820021,1.929111121351783,0.39,0.0,0.0,0.0,-0.23151367902755737,22.735044479370117
qwen2.5-7b,C,6,27,R_harm,R_harm,0.5,0.5,0.0037041855975985527,0.002055365202249959,0.005414180073421448,-0.0020000338554382324,0.005810612812638283,0.010251063853502274,0.005313879402820021,1.929111121351783,0.39,0.0,0.0,0.0,-0.23151367902755737,206.79986572265625
