model,concept,layer,k,n_strata,alpha,baseline_refusal,refusal,d_refusal,retained_norm,k_star,below_behavioural_null,ratio_to_full
qwen2.5-7b,R_harm,16,1,4,1.0,0.39,0.46,0.07,0.9999716554682038,,True,
qwen2.5-7b,R_harm,16,2,4,1.0,0.39,0.45,0.06,0.999996958463483,,True,
qwen2.5-7b,R_harm,16,3,4,1.0,0.39,0.44,0.04999999999999999,0.9999970878905688,,True,
qwen2.5-7b,R_harm,16,4,4,1.0,0.39,0.44,0.04999999999999999,0.999999223437485,,True,
qwen2.5-7b,R_harm,16,full,4,1.0,0.39,0.43,0.03999999999999998,1.0,,True,
qwen2.5-7b,R_control,25,1,6,1.0,0.39,0.49,0.09999999999999998,0.9984985766581979,1.0,False,0.909090909090909
qwen2.5-7b,R_control,25,2,6,1.0,0.39,0.5,0.10999999999999999,0.998851433094155,1.0,False,1.0
qwen2.5-7b,R_control,25,3,6,1.0,0.39,0.5,0.10999999999999999,0.999209698793405,1.0,False,1.0
qwen2.5-7b,R_control,25,4,6,1.0,0.39,0.5,0.10999999999999999,0.9993831087992564,1.0,False,1.0
qwen2.5-7b,R_control,25,6,6,1.0,0.39,0.5,0.10999999999999999,1.0000008623463221,1.0,False,1.0
qwen2.5-7b,R_control,25,full,6,1.0,0.39,0.5,0.10999999999999999,1.0,,,
qwen2.5-7b,R_harm_at_post,16,1,4,1.0,0.39,0.88,0.49,0.9997447092452303,1.0,False,1.0208333333333333
qwen2.5-7b,R_harm_at_post,16,2,4,1.0,0.39,0.88,0.49,0.9997528167064231,1.0,False,1.0208333333333333
qwen2.5-7b,R_harm_at_post,16,3,4,1.0,0.39,0.87,0.48,0.9999983973623223,1.0,False,1.0
qwen2.5-7b,R_harm_at_post,16,4,4,1.0,0.39,0.87,0.48,0.999998680180736,1.0,False,1.0
qwen2.5-7b,R_harm_at_post,16,full,4,1.0,0.39,0.87,0.48,1.0,,,
qwen2.5-7b,R_control_harmless,27,1,6,1.0,0.39,0.49,0.09999999999999998,0.9941450590259558,1.0,False,1.0
qwen2.5-7b,R_control_harmless,27,2,6,1.0,0.39,0.49,0.09999999999999998,0.9972900611901431,1.0,False,1.0
qwen2.5-7b,R_control_harmless,27,3,6,1.0,0.39,0.49,0.09999999999999998,0.9977764215492748,1.0,False,1.0
qwen2.5-7b,R_control_harmless,27,4,6,1.0,0.39,0.49,0.09999999999999998,0.9978079889368447,1.0,False,1.0
qwen2.5-7b,R_control_harmless,27,6,6,1.0,0.39,0.49,0.09999999999999998,1.0000008094201942,1.0,False,1.0
qwen2.5-7b,R_control_harmless,27,full,6,1.0,0.39,0.49,0.09999999999999998,1.0,,,
