layer,relative_depth,train_accuracy,accuracy,acc_ci_low,acc_ci_high,chance,n_test_instructions,auc_tool_user,auc_ci_low_tool_user,auc_ci_high_tool_user,cos_probe_vs_dom_tool_user,auc_matched_tool_user,auc_matched_ci_low_tool_user,auc_matched_ci_high_tool_user,length_matched_auc_tool_user,auc_system_user,auc_ci_low_system_user,auc_ci_high_system_user,cos_probe_vs_dom_system_user,auc_matched_system_user,auc_matched_ci_low_system_user,auc_matched_ci_high_system_user,length_matched_auc_system_user,auc_assistant_user,auc_ci_low_assistant_user,auc_ci_high_assistant_user,cos_probe_vs_dom_assistant_user,auc_matched_assistant_user,auc_matched_ci_low_assistant_user,auc_matched_ci_high_assistant_user,length_matched_auc_assistant_user
0,0.0,0.9446790540540541,0.8839514066496164,0.8689672946929932,0.8995283842086792,0.25,100,0.8857612013816833,0.8722664713859558,0.8991657495498657,0.8846409320831299,0.7066972255706787,0.6596453189849854,0.7563387751579285,0.521753191947937,0.8198091983795166,0.8019863367080688,0.8384665846824646,0.7916017770767212,0.837843656539917,0.8145594000816345,0.8596429228782654,0.5008782148361206,0.7422586679458618,0.7290406227111816,0.7573168873786926,0.9076027870178223,0.6492980122566223,0.6311715841293335,0.6673151254653931,0.5006822347640991
1,0.037,0.9832136824324325,0.9456521739130435,0.9342018365859985,0.9573574662208557,0.25,100,0.7362225651741028,0.7232227921485901,0.7500907182693481,0.7663013935089111,0.7655106782913208,0.7223960161209106,0.8082770109176636,0.521753191947937,0.7600535750389099,0.7453215718269348,0.7763331532478333,0.6659057140350342,0.8965318202972412,0.8770509362220764,0.914804995059967,0.5008782148361206,0.6967960596084595,0.6821362972259521,0.7120763659477234,0.8095141053199768,0.6278329491615295,0.6102740168571472,0.6465372443199158,0.5006822347640991
2,0.0741,0.9854835304054054,0.9387787723785166,0.9264580011367798,0.9507452249526978,0.25,100,0.878367006778717,0.8649972081184387,0.8925348520278931,0.8017232418060303,0.779973566532135,0.7388610243797302,0.8190992474555969,0.521753191947937,0.94029301404953,0.9287825226783752,0.9516503214836121,0.7416996955871582,0.9561004638671875,0.9448463320732117,0.9657581448554993,0.5008782148361206,0.748013973236084,0.7321265935897827,0.764896035194397,0.7872796654701233,0.653046727180481,0.636868417263031,0.6709569096565247,0.5006822347640991
3,0.1111,0.9891258445945946,0.9226342710997443,0.9069601893424988,0.9379113912582397,0.25,100,0.9360891580581665,0.9232271313667297,0.9485685229301453,0.781344473361969,0.796970009803772,0.7558943629264832,0.8376336693763733,0.521753191947937,0.9865553379058838,0.9805034399032593,0.9913129210472107,0.6794195175170898,0.9668680429458618,0.9563559889793396,0.9760243892669678,0.5008782148361206,0.7670639157295227,0.749581515789032,0.784593403339386,0.7113127708435059,0.6432032585144043,0.6259817481040955,0.661968469619751,0.5006822347640991
4,0.1481,0.9947212837837838,0.934462915601023,0.9204393625259399,0.9481067657470703,0.25,100,0.9358630776405334,0.922788143157959,0.9485863447189331,0.7226009368896484,0.8410199880599976,0.8048071265220642,0.8759811520576477,0.521753191947937,0.9571840167045593,0.9463356733322144,0.9661886096000671,0.6690922975540161,0.9661940336227417,0.9542010426521301,0.9761431813240051,0.5008782148361206,0.7955194711685181,0.7803817391395569,0.8119890093803406,0.6816259026527405,0.6802282333374023,0.6643683314323425,0.697191596031189,0.5006822347640991
5,0.1852,0.9943517736486487,0.9282289002557544,0.9145320057868958,0.9410598874092102,0.25,100,0.9645696878433228,0.9536283612251282,0.9736223816871643,0.7026128768920898,0.8651963472366333,0.8299996256828308,0.897617518901825,0.521753191947937,0.9325913786888123,0.9200732111930847,0.9431933164596558,0.635063111782074,0.9606612324714661,0.9474089741706848,0.9715837240219116,0.5008782148361206,0.8280664086341858,0.8173231482505798,0.8391819596290588,0.6616325378417969,0.6607111692428589,0.6445580124855042,0.6775007247924805,0.5006822347640991
6,0.2222,0.9986803209459459,0.9480498721227621,0.9349997043609619,0.9603689908981323,0.25,100,0.962540328502655,0.9518061280250549,0.972353994846344,0.7154126763343811,0.876086413860321,0.8443315625190735,0.9067754745483398,0.521753191947937,0.885356068611145,0.8697584271430969,0.9009504914283752,0.6229866743087769,0.9026849269866943,0.8876478672027588,0.9189631342887878,0.5008782148361206,0.9008726477622986,0.8874784708023071,0.9153493046760559,0.7097039222717285,0.785782516002655,0.7693963646888733,0.8042035102844238,0.5006822347640991
7,0.2593,0.9988386824324325,0.941656010230179,0.9291196465492249,0.9536778330802917,0.25,100,0.9579538106918335,0.9473276734352112,0.9679920673370361,0.6894949078559875,0.8547270894050598,0.8199121952056885,0.8889662623405457,0.521753191947937,0.7689072489738464,0.7536407113075256,0.7870128750801086,0.550612211227417,0.8208411335945129,0.8006787896156311,0.8428175449371338,0.5008782148361206,0.8500451445579529,0.8350531458854675,0.8647348284721375,0.6473864316940308,0.7793678641319275,0.7627525329589844,0.7973069548606873,0.5006822347640991
8,0.2963,0.9995777027027027,0.9507672634271099,0.9374960064888,0.9628692865371704,0.25,100,0.9461652636528015,0.9362450838088989,0.9562627673149109,0.6656898260116577,0.855646014213562,0.821626603603363,0.8872893452644348,0.521753191947937,0.7815122604370117,0.7657335996627808,0.7996320128440857,0.5324406623840332,0.813006579875946,0.792720377445221,0.8340694904327393,0.5008782148361206,0.7734484076499939,0.7602556943893433,0.7873896956443787,0.6013351678848267,0.752633810043335,0.7358415722846985,0.7699137926101685,0.5006822347640991
9,0.3333,0.9992609797297297,0.940537084398977,0.9267870187759399,0.9544589519500732,0.25,100,0.959647536277771,0.9475480318069458,0.9706987142562866,0.6697002649307251,0.8612370491027832,0.825819194316864,0.8933346271514893,0.521753191947937,0.7688606381416321,0.7525652647018433,0.787143886089325,0.5152922868728638,0.810610830783844,0.7868437767028809,0.8346221446990967,0.5008782148361206,0.8015319108963013,0.7884052395820618,0.8151562809944153,0.5820517539978027,0.7380704283714294,0.7227042317390442,0.7537527680397034,0.5006822347640991
10,0.3704,0.9998416385135135,0.9514066496163683,0.9381375312805176,0.9643839001655579,0.25,100,0.9351828098297119,0.9229568243026733,0.9471469521522522,0.6518517732620239,0.8666563630104065,0.8322581052780151,0.8983888030052185,0.521753191947937,0.8029206395149231,0.7854187488555908,0.8202559947967529,0.5411354303359985,0.8217154145240784,0.800635039806366,0.8440842628479004,0.5008782148361206,0.8323512077331543,0.8185754418373108,0.8463941216468811,0.570805013179779,0.8106242418289185,0.7962874174118042,0.8249558806419373,0.5006822347640991
11,0.4074,0.9995249155405406,0.943574168797954,0.9305546879768372,0.9569997191429138,0.25,100,0.9196789264678955,0.9055301547050476,0.9335703253746033,0.6259018182754517,0.8513174653053284,0.8151074051856995,0.8847852349281311,0.521753191947937,0.7680327892303467,0.7512927055358887,0.7857005000114441,0.51116943359375,0.7969345450401306,0.7734304070472717,0.819639265537262,0.5008782148361206,0.7872217893600464,0.7745283246040344,0.799488365650177,0.5222335457801819,0.7599541544914246,0.7438299655914307,0.7751619219779968,0.5006822347640991
12,0.4444,1.0,0.959079283887468,0.9467440247535706,0.9712165594100952,0.25,100,0.9007655382156372,0.8877672553062439,0.914300799369812,0.5929879546165466,0.8689237236976624,0.8348432779312134,0.9010653495788574,0.521753191947937,0.753044843673706,0.7365610599517822,0.7696937322616577,0.5243974924087524,0.7970151305198669,0.7740479707717896,0.8199476003646851,0.5008782148361206,0.8350780010223389,0.8223581910133362,0.8473618030548096,0.5635186433792114,0.7950850129127502,0.7798352837562561,0.810451328754425,0.5006822347640991
13,0.4815,0.9999472128378378,0.9649936061381074,0.9525792598724365,0.9762619733810425,0.25,100,0.9401524066925049,0.9291194081306458,0.9517492651939392,0.5980993509292603,0.8721271753311157,0.8367179036140442,0.9048019051551819,0.521753191947937,0.7581182718276978,0.7420147657394409,0.7749285101890564,0.5272547006607056,0.8215383887290955,0.7969053983688354,0.8459221124649048,0.5008782148361206,0.8515536785125732,0.8385050296783447,0.8658240437507629,0.5273537039756775,0.798880398273468,0.7833443880081177,0.8148685097694397,0.5006822347640991
