model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen3.5-9b,A,1,0.0323,R_harm,1.0,0.0021779625676572323,0.13066406548023224
qwen3.5-9b,A,1,0.0323,R_harm,-1.0,0.00289670517668128,-0.16582031548023224
qwen3.5-9b,A,1,0.0323,R_control,1.0,0.0011913907947018743,0.0625
qwen3.5-9b,A,1,0.0323,R_control,-1.0,0.0008757059695199132,-0.07148437201976776
qwen3.5-9b,A,1,0.0323,R_role,1.0,0.02574581280350685,-0.19023437798023224
qwen3.5-9b,A,1,0.0323,R_role,-1.0,0.023348692804574966,-0.32109373807907104
qwen3.5-9b,A,2,0.0645,R_harm,1.0,0.002773348707705736,0.03828125074505806
qwen3.5-9b,A,2,0.0645,R_harm,-1.0,0.003538958029821515,-0.06621094048023224
qwen3.5-9b,A,2,0.0645,R_control,1.0,0.0017165873432531953,-0.04628906399011612
qwen3.5-9b,A,2,0.0645,R_control,-1.0,0.0012139884056523442,0.0478515625
qwen3.5-9b,A,2,0.0645,R_role,1.0,0.03327571228146553,-0.8121093511581421
qwen3.5-9b,A,2,0.0645,R_role,-1.0,0.02305743470788002,0.12714843451976776
qwen3.5-9b,A,3,0.0968,R_harm,1.0,0.005665011238306761,0.23710937798023224
qwen3.5-9b,A,3,0.0968,R_harm,-1.0,0.006983272731304169,-0.2523437440395355
qwen3.5-9b,A,3,0.0968,R_control,1.0,0.003404098330065608,-0.21914061903953552
qwen3.5-9b,A,3,0.0968,R_control,-1.0,0.0025272315833717585,0.19316406548023224
qwen3.5-9b,A,3,0.0968,R_role,1.0,0.053378503769636154,-1.084375023841858
qwen3.5-9b,A,3,0.0968,R_role,-1.0,0.041692279279232025,0.40937501192092896
qwen3.5-9b,A,4,0.129,R_harm,1.0,0.0110079450532794,0.15195313096046448
qwen3.5-9b,A,4,0.129,R_harm,-1.0,0.016064120456576347,-0.31660157442092896
qwen3.5-9b,A,4,0.129,R_control,1.0,0.003178119193762541,-0.10000000149011612
qwen3.5-9b,A,4,0.129,R_control,-1.0,0.002884877845644951,0.05332031100988388
qwen3.5-9b,A,4,0.129,R_role,1.0,0.0939406305551529,-1.9445312023162842
qwen3.5-9b,A,4,0.129,R_role,-1.0,0.08277957141399384,1.1082031726837158
qwen3.5-9b,A,5,0.1613,R_harm,1.0,0.009557917714118958,0.0007812500116415322
qwen3.5-9b,A,5,0.1613,R_harm,-1.0,0.01731600984930992,-0.11777343600988388
qwen3.5-9b,A,5,0.1613,R_control,1.0,0.002124401042237878,-0.1171875
qwen3.5-9b,A,5,0.1613,R_control,-1.0,0.002287594135850668,0.06816406548023224
qwen3.5-9b,A,5,0.1613,R_role,1.0,0.11304471641778946,-1.91015625
qwen3.5-9b,A,5,0.1613,R_role,-1.0,0.08655831962823868,1.02734375
qwen3.5-9b,A,6,0.1935,R_harm,1.0,0.007735699415206909,0.13203124701976776
qwen3.5-9b,A,6,0.1935,R_harm,-1.0,0.010615706443786621,-0.14003905653953552
qwen3.5-9b,A,6,0.1935,R_control,1.0,0.0029979075770825148,-0.07695312798023224
qwen3.5-9b,A,6,0.1935,R_control,-1.0,0.0022739307023584843,0.08828125149011612
qwen3.5-9b,A,6,0.1935,R_role,1.0,0.08005955070257187,-1.021875023841858
qwen3.5-9b,A,6,0.1935,R_role,-1.0,0.09697352349758148,0.5308593511581421
qwen3.5-9b,A,7,0.2258,R_harm,1.0,0.02582741342484951,0.3392578065395355
qwen3.5-9b,A,7,0.2258,R_harm,-1.0,0.03860440477728844,-0.4994140565395355
qwen3.5-9b,A,7,0.2258,R_control,1.0,0.006517593748867512,-0.15390625596046448
qwen3.5-9b,A,7,0.2258,R_control,-1.0,0.006155815441161394,0.08613280951976776
qwen3.5-9b,A,7,0.2258,R_role,1.0,0.14159414172172546,-2.3687500953674316
qwen3.5-9b,A,7,0.2258,R_role,-1.0,0.10802777856588364,1.183203101158142
qwen3.5-9b,A,8,0.2581,R_harm,1.0,0.038213569670915604,0.19023437798023224
