model,concept,layer,k,n_strata,alpha,baseline_refusal,refusal,d_refusal,retained_norm,ratio_to_full,k_star,below_behavioural_null
qwen3.5-9b,R_harm,16,1,4,1.0,0.48,0.57,0.08999999999999997,0.999792974380262,0.8999999999999999,2.0,False
qwen3.5-9b,R_harm,16,2,4,1.0,0.48,0.58,0.09999999999999998,0.9999983065388979,1.0,2.0,False
qwen3.5-9b,R_harm,16,3,4,1.0,0.48,0.56,0.08000000000000007,0.9999987299041734,0.8000000000000009,2.0,False
qwen3.5-9b,R_harm,16,4,4,1.0,0.48,0.58,0.09999999999999998,0.9999986593432941,1.0,2.0,False
qwen3.5-9b,R_harm,16,full,4,1.0,0.48,0.58,0.09999999999999998,1.0,,,
qwen3.5-9b,R_harm_at_post,28,1,4,1.0,0.48,0.95,0.47,0.9999951380239851,1.0,1.0,False
qwen3.5-9b,R_harm_at_post,28,2,4,1.0,0.48,0.95,0.47,0.9999950496244212,1.0,1.0,False
qwen3.5-9b,R_harm_at_post,28,3,4,1.0,0.48,0.95,0.47,0.999995226423549,1.0,1.0,False
qwen3.5-9b,R_harm_at_post,28,4,4,1.0,0.48,0.95,0.47,0.9999979668100302,1.0,1.0,False
qwen3.5-9b,R_harm_at_post,28,full,4,1.0,0.48,0.95,0.47,1.0,,,
qwen3.5-9b,R_control_harmless,28,1,6,1.0,0.48,0.7,0.21999999999999997,0.9936155488158542,1.1578947368421049,1.0,False
qwen3.5-9b,R_control_harmless,28,2,6,1.0,0.48,0.69,0.20999999999999996,0.9960190162423199,1.1052631578947363,1.0,False
qwen3.5-9b,R_control_harmless,28,3,6,1.0,0.48,0.7,0.21999999999999997,0.9961127692307383,1.1578947368421049,1.0,False
qwen3.5-9b,R_control_harmless,28,4,6,1.0,0.48,0.69,0.20999999999999996,0.9980906959306445,1.1052631578947363,1.0,False
qwen3.5-9b,R_control_harmless,28,6,6,1.0,0.48,0.67,0.19000000000000006,1.000000201042863,1.0,1.0,False
qwen3.5-9b,R_control_harmless,28,full,6,1.0,0.48,0.67,0.19000000000000006,1.0,,,
