model,concept,factor,level_a,level_b,layer,cosine,split_half_floor,at_floor
qwen3.5-9b,R_role_tool_vs_user,source,advbench,alpaca,21,0.489388108253479,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,advbench,jbb,21,0.9108994007110596,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,advbench,sorry-bench,21,0.8639428615570068,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,advbench,xstest_safe,21,0.6251335144042969,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,alpaca,jbb,21,0.6349523067474365,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,alpaca,sorry-bench,21,0.6931740641593933,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,alpaca,xstest_safe,21,0.8170748353004456,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,jbb,sorry-bench,21,0.9592355489730835,0.9147477149963379,True
qwen3.5-9b,R_role_tool_vs_user,source,jbb,xstest_safe,21,0.7195362448692322,0.9147477149963379,False
qwen3.5-9b,R_role_tool_vs_user,source,sorry-bench,xstest_safe,21,0.7556754350662231,0.9147477149963379,False
qwen3.5-9b,R_harm,source_pair,advbench|alpaca,advbench|xstest_safe,16,0.8691937923431396,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|alpaca,jbb|alpaca,16,0.9299746751785278,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|alpaca,jbb|xstest_safe,16,0.7984265685081482,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|alpaca,sorry-bench|alpaca,16,0.30431774258613586,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|alpaca,sorry-bench|xstest_safe,16,0.22977234423160553,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|xstest_safe,jbb|alpaca,16,0.7963798642158508,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|xstest_safe,jbb|xstest_safe,16,0.9419199228286743,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|xstest_safe,sorry-bench|alpaca,16,0.08936966955661774,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,advbench|xstest_safe,sorry-bench|xstest_safe,16,0.41493576765060425,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,jbb|alpaca,jbb|xstest_safe,16,0.8526725769042969,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,jbb|alpaca,sorry-bench|alpaca,16,0.3129180669784546,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,jbb|alpaca,sorry-bench|xstest_safe,16,0.2241840958595276,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,jbb|xstest_safe,sorry-bench|alpaca,16,0.08477739244699478,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,jbb|xstest_safe,sorry-bench|xstest_safe,16,0.4207943081855774,0.9854965358972549,False
qwen3.5-9b,R_harm,source_pair,sorry-bench|alpaca,sorry-bench|xstest_safe,16,0.6855104565620422,0.9854965358972549,False
qwen3.5-9b,R_harm,category,,Disinformation,16,0.7443651556968689,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Economic harm,16,0.8135257363319397,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Expert advice,16,0.8223741054534912,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Fraud/Deception,16,0.7386547327041626,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Government decision-making,16,0.760761022567749,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Harassment/Discrimination,16,0.7838695049285889,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Malware/Hacking,16,0.801931619644165,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Physical harm,16,0.7548576593399048,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Privacy,16,0.7252793312072754,0.9343568682670593,False
qwen3.5-9b,R_harm,category,,Sexual/Adult content,16,0.692509651184082,0.9343568682670593,False
