model,kind,uid,source,harmful,split,role,design,n_tokens,content_tokens,t_inst,t_post_inst,slot_is_fixed
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,system,fixed_slot,25,8,10,24,False
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,user,fixed_slot,36,8,30,35,True
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,tool,fixed_slot,45,8,34,44,True
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,assistant,fixed_slot,36,8,30,35,True
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,system,natural_slot,25,8,10,24,False
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,user,natural_slot,27,8,21,26,False
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,tool,natural_slot,53,8,42,52,False
qwen2.5-7b,fitting,22d86f50daae,advbench,True,test,assistant,natural_slot,36,8,30,35,False
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,system,fixed_slot,35,18,20,34,False
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,user,fixed_slot,46,18,40,45,True
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,tool,fixed_slot,55,18,44,54,True
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,assistant,fixed_slot,46,18,40,45,True
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,system,natural_slot,35,18,20,34,False
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,user,natural_slot,37,18,31,36,False
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,tool,natural_slot,63,18,52,62,False
qwen2.5-7b,fitting,d02118ea2a73,jbb,True,test,assistant,natural_slot,46,18,40,45,False
qwen2.5-7b,fitting,b3cfc3442251,sorry-bench,True,train,system,fixed_slot,36,19,21,35,False
qwen2.5-7b,fitting,b3cfc3442251,sorry-bench,True,train,user,fixed_slot,47,19,41,46,True
qwen2.5-7b,fitting,b3cfc3442251,sorry-bench,True,train,tool,fixed_slot,55,19,45,54,True
qwen2.5-7b,fitting,b3cfc3442251,sorry-bench,True,train,assistant,fixed_slot,47,19,41,46,True
