model,design,role,n_tokens,t_inst,t_post_inst,content_tokens,slot_is_fixed,prefix,suffix
qwen2.5-7b,fixed_slot,system,23,8,22,6,False,"<|im_start|>system
","<|im_end|>
<|im_start|>user
Proces"
qwen2.5-7b,fixed_slot,user,34,28,33,6,True,"owing.<|im_end|>
<|im_start|>user
","<|im_end|>
<|im_start|>assistant
"
qwen2.5-7b,fixed_slot,tool,43,32,42,6,True,"
<|im_start|>user
<tool_response>
","
</tool_response><|im_end|>
<|im_s"
qwen2.5-7b,fixed_slot,assistant,34,28,33,6,True,".<|im_end|>
<|im_start|>assistant
","<|im_end|>
<|im_start|>assistant
"
qwen2.5-7b,natural_slot,system,23,8,22,6,False,"<|im_start|>system
","<|im_end|>
<|im_start|>user
Proces"
qwen2.5-7b,natural_slot,user,25,19,24,6,False,"stant.<|im_end|>
<|im_start|>user
","<|im_end|>
<|im_start|>assistant
"
qwen2.5-7b,natural_slot,tool,51,40,50,6,False,"
<|im_start|>user
<tool_response>
","
</tool_response><|im_end|>
<|im_s"
qwen2.5-7b,natural_slot,assistant,34,28,33,6,False,".<|im_end|>
<|im_start|>assistant
","<|im_end|>
<|im_start|>assistant
"
qwen3.5-9b,fixed_slot,system,27,8,26,6,False,"<|im_start|>system
","<|im_end|>
<|im_start|>user
Proces"
qwen3.5-9b,fixed_slot,user,38,28,37,6,True,"owing.<|im_end|>
<|im_start|>user
","<|im_end|>
<|im_start|>assistant
<"
qwen3.5-9b,fixed_slot,tool,42,30,41,6,True,"
<|im_start|>user
<tool_response>
","
</tool_response><|im_end|>
<|im_s"
qwen3.5-9b,fixed_slot,assistant,42,32,41,6,True,"art|>assistant
<think>

</think>

","<|im_end|>
<|im_start|>assistant
<"
qwen3.5-9b,natural_slot,system,27,8,26,6,False,"<|im_start|>system
","<|im_end|>
<|im_start|>user
Proces"
qwen3.5-9b,natural_slot,user,29,19,28,6,False,"stant.<|im_end|>
<|im_start|>user
","<|im_end|>
<|im_start|>assistant
<"
qwen3.5-9b,natural_slot,tool,54,42,53,6,False,"
<|im_start|>user
<tool_response>
","
</tool_response><|im_end|>
<|im_s"
qwen3.5-9b,natural_slot,assistant,42,32,41,6,False,"art|>assistant
<think>

</think>

","<|im_end|>
<|im_start|>assistant
<"
