model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen2.5-7b,A,1,0.037,R_harm,1.0,0.001281184027902782,-0.0044921874068677425
qwen2.5-7b,A,1,0.037,R_harm,-1.0,0.001870452077127993,0.0003906250058207661
qwen2.5-7b,A,1,0.037,R_control,1.0,0.0009849097114056349,0.009570312686264515
qwen2.5-7b,A,1,0.037,R_control,-1.0,0.001042616437189281,-0.02988281287252903
qwen2.5-7b,A,1,0.037,R_role,1.0,0.004210366867482662,-0.09062500298023224
qwen2.5-7b,A,1,0.037,R_role,-1.0,0.004718572832643986,0.03730468824505806
qwen2.5-7b,A,2,0.0741,R_harm,1.0,0.0014604846946895123,-0.05800781399011612
qwen2.5-7b,A,2,0.0741,R_harm,-1.0,0.0013255956582725048,0.00937500037252903
qwen2.5-7b,A,2,0.0741,R_control,1.0,0.0018910809885710478,-0.0074218749068677425
qwen2.5-7b,A,2,0.0741,R_control,-1.0,0.0017376061296090484,-0.05898437649011612
qwen2.5-7b,A,2,0.0741,R_role,1.0,0.007340757641941309,0.12910155951976776
qwen2.5-7b,A,2,0.0741,R_role,-1.0,0.007069658488035202,-0.11699219048023224
qwen2.5-7b,A,3,0.1111,R_harm,1.0,0.0027336948551237583,-0.03066406212747097
qwen2.5-7b,A,3,0.1111,R_harm,-1.0,0.0022362503223121166,0.05390625074505806
qwen2.5-7b,A,3,0.1111,R_control,1.0,0.0020836389157921076,-0.01523437537252903
qwen2.5-7b,A,3,0.1111,R_control,-1.0,0.0016060981433838606,-0.008984374813735485
qwen2.5-7b,A,3,0.1111,R_role,1.0,0.011686379089951515,0.03984374925494194
qwen2.5-7b,A,3,0.1111,R_role,-1.0,0.010468965396285057,0.10361327975988388
qwen2.5-7b,A,4,0.1481,R_harm,1.0,0.004977026488631964,-0.09921874850988388
qwen2.5-7b,A,4,0.1481,R_harm,-1.0,0.0048477062955498695,0.0537109375
qwen2.5-7b,A,4,0.1481,R_control,1.0,0.002032079268246889,-0.011914062313735485
qwen2.5-7b,A,4,0.1481,R_control,-1.0,0.002529430901631713,-0.02207031287252903
qwen2.5-7b,A,4,0.1481,R_role,1.0,0.020367056131362915,0.0966796875
qwen2.5-7b,A,4,0.1481,R_role,-1.0,0.019776012748479843,-0.1904296875
qwen2.5-7b,A,5,0.1852,R_harm,1.0,0.01617475412786007,-0.36738282442092896
qwen2.5-7b,A,5,0.1852,R_harm,-1.0,0.011670297011733055,0.3480468690395355
qwen2.5-7b,A,5,0.1852,R_control,1.0,0.004888430237770081,0.07343749701976776
qwen2.5-7b,A,5,0.1852,R_control,-1.0,0.006074531935155392,-0.10761718451976776
qwen2.5-7b,A,5,0.1852,R_role,1.0,0.031265199184417725,-0.1669921875
qwen2.5-7b,A,5,0.1852,R_role,-1.0,0.02081524394452572,0.010546875186264515
qwen2.5-7b,A,6,0.2222,R_harm,1.0,0.018493715673685074,-0.552929699420929
qwen2.5-7b,A,6,0.2222,R_harm,-1.0,0.01695891097187996,0.47978514432907104
qwen2.5-7b,A,6,0.2222,R_control,1.0,0.004478863440454006,-0.11171875149011612
qwen2.5-7b,A,6,0.2222,R_control,-1.0,0.005348226986825466,0.03945312649011612
qwen2.5-7b,A,6,0.2222,R_role,1.0,0.04660879820585251,0.3853515684604645
qwen2.5-7b,A,6,0.2222,R_role,-1.0,0.04011579602956772,-0.06381835788488388
qwen2.5-7b,A,7,0.2593,R_harm,1.0,0.022481419146060944,-0.79296875
qwen2.5-7b,A,7,0.2593,R_harm,-1.0,0.021945172920823097,0.7533203363418579
qwen2.5-7b,A,7,0.2593,R_control,1.0,0.0067179263569414616,-0.08281250298023224
qwen2.5-7b,A,7,0.2593,R_control,-1.0,0.00757236173376441,0.08378906548023224
qwen2.5-7b,A,7,0.2593,R_role,1.0,0.04251452535390854,0.10683593899011612
qwen2.5-7b,A,7,0.2593,R_role,-1.0,0.028704572468996048,-0.11201171576976776
qwen2.5-7b,A,8,0.2963,R_harm,1.0,0.03680437058210373,-0.8037109375
qwen2.5-7b,A,8,0.2963,R_harm,-1.0,0.044073041528463364,0.7406250238418579
qwen2.5-7b,A,8,0.2963,R_control,1.0,0.008229753002524376,-0.07431640475988388
qwen2.5-7b,A,8,0.2963,R_control,-1.0,0.011929744854569435,0.0458984375
qwen2.5-7b,A,8,0.2963,R_role,1.0,0.06878513097763062,0.31367188692092896
qwen2.5-7b,A,8,0.2963,R_role,-1.0,0.060428738594055176,0.36347657442092896
qwen2.5-7b,A,9,0.3333,R_harm,1.0,0.07028292119503021,-0.9512695074081421
qwen2.5-7b,A,9,0.3333,R_harm,-1.0,0.0847715362906456,0.96484375
qwen2.5-7b,A,9,0.3333,R_control,1.0,0.014797590672969818,0.28564453125
qwen2.5-7b,A,9,0.3333,R_control,-1.0,0.017293404787778854,-0.3095703125
qwen2.5-7b,A,9,0.3333,R_role,1.0,0.1589622050523758,1.0066406726837158
qwen2.5-7b,A,9,0.3333,R_role,-1.0,0.08110404014587402,-0.5054687261581421
qwen2.5-7b,A,10,0.3704,R_harm,1.0,0.08764895796775818,-0.8062499761581421
qwen2.5-7b,A,10,0.3704,R_harm,-1.0,0.11654104292392731,0.77734375
qwen2.5-7b,A,10,0.3704,R_control,1.0,0.023666709661483765,0.4795898497104645
qwen2.5-7b,A,10,0.3704,R_control,-1.0,0.03651508688926697,-0.45781248807907104
qwen2.5-7b,A,10,0.3704,R_role,1.0,0.26750999689102173,1.2912108898162842
qwen2.5-7b,A,10,0.3704,R_role,-1.0,0.13663792610168457,-0.7564452886581421
qwen2.5-7b,A,11,0.4074,R_harm,1.0,0.16276457905769348,-0.8335937261581421
qwen2.5-7b,A,11,0.4074,R_harm,-1.0,0.18159572780132294,1.2126953601837158
qwen2.5-7b,A,11,0.4074,R_control,1.0,0.036345403641462326,0.775195300579071
qwen2.5-7b,A,11,0.4074,R_control,-1.0,0.05275918170809746,-0.672070324420929
qwen2.5-7b,A,11,0.4074,R_role,1.0,0.2554088830947876,1.3751952648162842
qwen2.5-7b,A,11,0.4074,R_role,-1.0,0.15320520102977753,-0.845703125
qwen2.5-7b,A,12,0.4444,R_harm,1.0,0.25498053431510925,-0.29707032442092896
qwen2.5-7b,A,12,0.4444,R_harm,-1.0,0.29697078466415405,0.5482422113418579
qwen2.5-7b,A,12,0.4444,R_control,1.0,0.08275409042835236,1.6359374523162842
qwen2.5-7b,A,12,0.4444,R_control,-1.0,0.1933138072490692,-1.60546875
qwen2.5-7b,A,12,0.4444,R_role,1.0,0.3002926707267761,1.2041015625
qwen2.5-7b,A,12,0.4444,R_role,-1.0,0.21922516822814941,-0.22636719048023224
