model,stage,steer_layer,relative_depth,source,token_set,alpha,abs_alpha,mean_kl,margin_shift
qwen2.5-7b,B,6,0.2222,R_harm,all_real,0.25,0.25,0.0014064002316445112,-0.12285156548023224
qwen2.5-7b,B,6,0.2222,R_harm,all_real,-0.25,0.25,0.002203934360295534,0.1064453125
qwen2.5-7b,B,6,0.2222,R_harm,all_real,0.5,0.5,0.004843974951654673,-0.29121094942092896
qwen2.5-7b,B,6,0.2222,R_harm,all_real,-0.5,0.5,0.005083826836198568,0.23710937798023224
qwen2.5-7b,B,6,0.2222,R_harm,all_real,1.0,1.0,0.018493715673685074,-0.552929699420929
qwen2.5-7b,B,6,0.2222,R_harm,all_real,-1.0,1.0,0.01695891097187996,0.47978514432907104
qwen2.5-7b,B,6,0.2222,R_harm,all_real,2.0,2.0,0.0767880231142044,-1.0986328125
qwen2.5-7b,B,6,0.2222,R_harm,all_real,-2.0,2.0,0.0654701218008995,0.8250976800918579
qwen2.5-7b,B,6,0.2222,R_harm,all_real,4.0,4.0,0.22892975807189941,-1.8552734851837158
qwen2.5-7b,B,6,0.2222,R_harm,all_real,-4.0,4.0,0.2027222216129303,1.186425805091858
qwen2.5-7b,B,6,0.2222,R_control,all_real,0.25,0.25,0.0007328559877350926,-0.01503906212747097
qwen2.5-7b,B,6,0.2222,R_control,all_real,-0.25,0.25,0.0010513820452615619,0.01035156287252903
qwen2.5-7b,B,6,0.2222,R_control,all_real,0.5,0.5,0.00138880277518183,-0.04902343824505806
qwen2.5-7b,B,6,0.2222,R_control,all_real,-0.5,0.5,0.001799579942598939,0.02851562574505806
qwen2.5-7b,B,6,0.2222,R_control,all_real,1.0,1.0,0.004478863440454006,-0.11171875149011612
qwen2.5-7b,B,6,0.2222,R_control,all_real,-1.0,1.0,0.005348226986825466,0.03945312649011612
qwen2.5-7b,B,6,0.2222,R_control,all_real,2.0,2.0,0.0132801104336977,-0.24609375
qwen2.5-7b,B,6,0.2222,R_control,all_real,-2.0,2.0,0.01896248385310173,0.07558593899011612
qwen2.5-7b,B,6,0.2222,R_control,all_real,4.0,4.0,0.03334922343492508,-0.532421886920929
qwen2.5-7b,B,6,0.2222,R_control,all_real,-4.0,4.0,0.07047177106142044,-0.00937500037252903
qwen2.5-7b,B,6,0.2222,R_role,all_real,0.25,0.25,0.004697422496974468,0.05019531399011612
qwen2.5-7b,B,6,0.2222,R_role,all_real,-0.25,0.25,0.004222196992486715,-0.03671874850988388
qwen2.5-7b,B,6,0.2222,R_role,all_real,0.5,0.5,0.013709810562431812,0.16035155951976776
qwen2.5-7b,B,6,0.2222,R_role,all_real,-0.5,0.5,0.012974187731742859,-0.1064453125
qwen2.5-7b,B,6,0.2222,R_role,all_real,1.0,1.0,0.04660879820585251,0.3853515684604645
qwen2.5-7b,B,6,0.2222,R_role,all_real,-1.0,1.0,0.04011579602956772,-0.06381835788488388
qwen2.5-7b,B,6,0.2222,R_role,all_real,2.0,2.0,0.16135427355766296,0.15097656846046448
qwen2.5-7b,B,6,0.2222,R_role,all_real,-2.0,2.0,0.11352474987506866,-0.06171875074505806
qwen2.5-7b,B,6,0.2222,R_role,all_real,4.0,4.0,0.9760692715644836,-0.714062511920929
qwen2.5-7b,B,6,0.2222,R_role,all_real,-4.0,4.0,1.634778380393982,-2.302929639816284
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,0.25,0.25,0.0009363183635286987,-0.03535156324505806
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,-0.25,0.25,0.0007161743706092238,-0.0044921874068677425
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,0.5,0.5,0.0013413183623924851,-0.04121093824505806
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,-0.5,0.5,0.0011460620444267988,0.03203124925494194
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,1.0,1.0,0.004694845527410507,-0.07167968899011612
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,-1.0,1.0,0.002885873895138502,0.03457031399011612
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,2.0,2.0,0.01640532910823822,-0.19453124701976776
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,-2.0,2.0,0.011232377961277962,0.04453124850988388
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,4.0,4.0,0.06537363678216934,-0.43671876192092896
qwen2.5-7b,B,6,0.2222,R_harm,instruction_span,-4.0,4.0,0.04094813019037247,-0.07792969048023224
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,0.25,0.25,0.0006435146788135171,-0.013867187313735485
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,-0.25,0.25,0.0009340695105493069,-0.008593750186264515
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,0.5,0.5,0.0009681936353445053,-0.02656250074505806
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,-0.5,0.5,0.000875364406965673,0.0107421875
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,1.0,1.0,0.001610589912161231,-0.044921875
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,-1.0,1.0,0.0015004039742052555,0.001953125
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,2.0,2.0,0.004752731416374445,-0.07949218899011612
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,-2.0,2.0,0.004464003723114729,0.008593750186264515
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,4.0,4.0,0.022260596975684166,-0.18574218451976776
qwen2.5-7b,B,6,0.2222,R_control,instruction_span,-4.0,4.0,0.020271625369787216,0.008496093563735485
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,0.25,0.25,0.004178023897111416,-0.02089843712747097
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,-0.25,0.25,0.00245204521343112,-0.01933593675494194
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,0.5,0.5,0.010344671085476875,0.007031249813735485
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,-0.5,0.5,0.008636480197310448,-0.01718750037252903
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,1.0,1.0,0.03391962870955467,-0.013476562686264515
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,-1.0,1.0,0.023160826414823532,-0.03623046725988388
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,2.0,2.0,0.07499434798955917,0.0283203125
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,-2.0,2.0,0.06140663102269173,-0.18056640028953552
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,4.0,4.0,0.8953913450241089,-0.05488281324505806
qwen2.5-7b,B,6,0.2222,R_role,instruction_span,-4.0,4.0,0.7623904347419739,-1.2712891101837158
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,0.25,0.25,0.000642947037704289,-0.0126953125
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,-0.25,0.25,0.0007075783214531839,-0.015429687686264515
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,0.5,0.5,0.0006223153322935104,-0.01601562462747097
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,-0.5,0.5,0.0008241419564001262,0.0007812500116415322
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,1.0,1.0,0.0011682332260534167,-0.02070312574505806
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,-1.0,1.0,0.0014405216788873076,-0.0015625000232830644
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,2.0,2.0,0.002123106038197875,-0.04042968899011612
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,-2.0,2.0,0.0036958791315555573,0.008007812313735485
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,4.0,4.0,0.007310325745493174,-0.07773437350988388
qwen2.5-7b,B,6,0.2222,R_harm,t_inst_only,-4.0,4.0,0.012992879375815392,-0.03281249850988388
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,0.25,0.25,0.00047153636114671826,-0.015429687686264515
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,-0.25,0.25,0.0006118937162682414,0.0062500000931322575
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,0.5,0.5,0.0006053757970221341,-0.01875000074505806
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,-0.5,0.5,0.0005099622649140656,0.01933593675494194
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,1.0,1.0,0.0008367202244699001,-0.0234375
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,-1.0,1.0,0.0006441661971621215,0.01113281212747097
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,2.0,2.0,0.0015316696371883154,-0.02734375
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,-2.0,2.0,0.0010423040948808193,0.006640625186264515
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,4.0,4.0,0.0035497103817760944,-0.05703125149011612
qwen2.5-7b,B,6,0.2222,R_control,t_inst_only,-4.0,4.0,0.0030926980543881655,0.01621093787252903
