model,concept,layer,k,n_strata,alpha,baseline_refusal,refusal,d_refusal,retained_norm,ratio_to_full,k_star,below_behavioural_null
qwen2.5-7b,R_harm,16,1,4,1.0,0.39,0.45,0.06,0.999972817400695,1.0,1.0,False
qwen2.5-7b,R_harm,16,2,4,1.0,0.39,0.43,0.03999999999999998,0.9999980583857639,0.6666666666666664,1.0,False
qwen2.5-7b,R_harm,16,3,4,1.0,0.39,0.43,0.03999999999999998,0.9999982525471875,0.6666666666666664,1.0,False
qwen2.5-7b,R_harm,16,4,4,1.0,0.39,0.45,0.06,1.0000001941614236,1.0,1.0,False
qwen2.5-7b,R_harm,16,full,4,1.0,0.39,0.45,0.06,1.0,,,
qwen2.5-7b,R_control,20,1,6,1.0,0.39,0.61,0.21999999999999997,0.9983166595310781,0.8799999999999999,3.0,False
qwen2.5-7b,R_control,20,2,6,1.0,0.39,0.61,0.21999999999999997,0.998816293876892,0.8799999999999999,3.0,False
qwen2.5-7b,R_control,20,3,6,1.0,0.39,0.62,0.22999999999999998,0.9988198366215013,0.9199999999999999,3.0,False
qwen2.5-7b,R_control,20,4,6,1.0,0.39,0.62,0.22999999999999998,0.9991278406907192,0.9199999999999999,3.0,False
qwen2.5-7b,R_control,20,6,6,1.0,0.39,0.64,0.25,0.9999989264410275,1.0,3.0,False
qwen2.5-7b,R_control,20,full,6,1.0,0.39,0.64,0.25,1.0,,,
qwen2.5-7b,R_harm_at_post,16,1,4,1.0,0.39,0.88,0.49,0.9997442261866377,1.0208333333333333,1.0,False
qwen2.5-7b,R_harm_at_post,16,2,4,1.0,0.39,0.89,0.5,0.999752805404115,1.0416666666666667,1.0,False
qwen2.5-7b,R_harm_at_post,16,3,4,1.0,0.39,0.88,0.49,0.9999981144576973,1.0208333333333333,1.0,False
qwen2.5-7b,R_harm_at_post,16,4,4,1.0,0.39,0.87,0.48,0.9999983972890427,1.0,1.0,False
qwen2.5-7b,R_harm_at_post,16,full,4,1.0,0.39,0.87,0.48,1.0,,,
qwen2.5-7b,R_control_harmless,22,1,6,1.0,0.39,0.52,0.13,0.9947065672417057,1.0,1.0,False
qwen2.5-7b,R_control_harmless,22,2,6,1.0,0.39,0.51,0.12,0.9973665444397002,0.923076923076923,1.0,False
qwen2.5-7b,R_control_harmless,22,3,6,1.0,0.39,0.52,0.13,0.9981584519287063,1.0,1.0,False
qwen2.5-7b,R_control_harmless,22,4,6,1.0,0.39,0.52,0.13,0.9981747390755064,1.0,1.0,False
qwen2.5-7b,R_control_harmless,22,6,6,1.0,0.39,0.52,0.13,1.0000003301448677,1.0,1.0,False
qwen2.5-7b,R_control_harmless,22,full,6,1.0,0.39,0.52,0.13,1.0,,,
