concept,layer,relative_depth,train_auc,auc,auc_ci_low,auc_ci_high,length_only_auc,random_auc,model
R_harm,0,0.0,0.9125972390174866,0.9311187267303468,0.8805716037750244,0.9678914546966552,0.6523078083992004,0.4588437378406524,qwen2.5-7b
R_harm,1,0.037,0.918378472328186,0.944043755531311,0.9031609296798706,0.9733572602272034,0.6523078083992004,0.6590374708175659,qwen2.5-7b
R_harm,2,0.0741,0.940154194831848,0.9677937626838684,0.93826425075531,0.9882782101631165,0.6523078083992004,0.3569749891757965,qwen2.5-7b
R_harm,3,0.1111,0.954580545425415,0.981474995613098,0.9572495222091676,0.996539831161499,0.6523078083992004,0.4675062596797943,qwen2.5-7b
R_harm,4,0.1481,0.9500986337661744,0.9737250208854676,0.944730579853058,0.992554247379303,0.6523078083992004,0.6102062463760376,qwen2.5-7b
R_harm,5,0.1852,0.94479238986969,0.969962477684021,0.9386234879493712,0.990982174873352,0.6523078083992004,0.8626687526702881,qwen2.5-7b
R_harm,6,0.2222,0.9572277665138244,0.9803812503814696,0.9548519849777222,0.9965694546699524,0.6523078083992004,0.5894749760627747,qwen2.5-7b
R_harm,7,0.2593,0.9615271091461182,0.9783937335014344,0.9507104158401488,0.996054708957672,0.6523078083992004,0.2757437527179718,qwen2.5-7b
R_harm,8,0.2963,0.9602465033531188,0.9775937795639038,0.9491742849349976,0.9958873391151428,0.6523078083992004,0.1114687472581863,qwen2.5-7b
R_harm,9,0.3333,0.9648562669754028,0.9815000295639038,0.9558116793632508,0.9972367286682128,0.6523078083992004,0.5418062210083008,qwen2.5-7b
R_harm,10,0.3704,0.9648520946502686,0.9796812534332277,0.9540392160415648,0.9962701201438904,0.6523078083992004,0.581193745136261,qwen2.5-7b
R_harm,11,0.4074,0.966540277004242,0.9795937538146972,0.953401267528534,0.9961857795715332,0.6523078083992004,0.6316937208175659,qwen2.5-7b
R_harm,12,0.4444,0.967579185962677,0.9803624749183656,0.9547616839408876,0.9967952966690063,0.6523078083992004,0.3371812403202057,qwen2.5-7b
R_harm,13,0.4815,0.9684631824493408,0.9811437726020812,0.9560614824295044,0.997427761554718,0.6523078083992004,0.616293728351593,qwen2.5-7b
R_harm,14,0.5185,0.9679965376853944,0.9803749918937684,0.9544371962547302,0.9967292547225952,0.6523078083992004,0.5762249827384949,qwen2.5-7b
R_harm,15,0.5556,0.968465268611908,0.981431245803833,0.9563793540000916,0.9973188042640686,0.6523078083992004,0.4482249915599823,qwen2.5-7b
R_harm,16,0.5926,0.9688485860824584,0.980718731880188,0.9561745524406432,0.9965007305145264,0.6523078083992004,0.389231264591217,qwen2.5-7b
R_harm,17,0.6296,0.9685222506523132,0.979449987411499,0.954054594039917,0.9955946207046508,0.6523078083992004,0.3452187478542328,qwen2.5-7b
R_harm,18,0.6667,0.9681194424629213,0.9794124960899352,0.9546298384666444,0.9957142472267152,0.6523078083992004,0.4458937644958496,qwen2.5-7b
R_harm,19,0.7037,0.9667639136314392,0.9814812541007996,0.9567427635192872,0.996959924697876,0.6523078083992004,0.4916499853134155,qwen2.5-7b
R_harm,20,0.7407,0.9660069346427916,0.979324996471405,0.9534140825271606,0.9956634640693665,0.6523078083992004,0.4876750111579895,qwen2.5-7b
R_harm,21,0.7778,0.9670166373252868,0.9803500175476074,0.9547660946846008,0.9964845180511476,0.6523078083992004,0.3264312446117401,qwen2.5-7b
R_harm,22,0.8148,0.9662250280380248,0.9798374772071838,0.9546325206756592,0.9964198470115662,0.6523078083992004,0.5220249891281128,qwen2.5-7b
R_harm,23,0.8519,0.9665159583091736,0.9798937439918518,0.9547191262245178,0.9965816140174866,0.6523078083992004,0.2346875071525573,qwen2.5-7b
R_harm,24,0.8889,0.965072214603424,0.9778375029563904,0.9514369368553162,0.9950934648513794,0.6523078083992004,0.1270374953746795,qwen2.5-7b
R_harm,25,0.9259,0.964038908481598,0.975350022315979,0.946789026260376,0.9943331480026244,0.6523078083992004,0.4269062578678131,qwen2.5-7b
R_harm,26,0.963,0.9310902953147888,0.9465312361717224,0.909424364566803,0.9734692573547364,0.6523078083992004,0.5034437775611877,qwen2.5-7b
R_harm,27,1.0,0.8992395997047424,0.91654372215271,0.872136116027832,0.9534508585929872,0.6523078083992004,0.6252312660217285,qwen2.5-7b
R_harm_user,0,0.0,0.9204888939857484,0.9401000142097472,0.8908247947692871,0.975361943244934,0.7054312229156494,0.5102999806404114,qwen2.5-7b
R_harm_user,1,0.037,0.9349889159202576,0.9560999870300292,0.9192658066749572,0.9829753041267396,0.7054312229156494,0.6894000172615051,qwen2.5-7b
R_harm_user,2,0.0741,0.9503999948501588,0.9749000072479248,0.947557270526886,0.9933881759643556,0.7054312229156494,0.3021999895572662,qwen2.5-7b
