concept_a,concept_b,pearson_r,abs_r,null_p95,beyond_null
R_control,R_control_harmless,0.9660588063995496,0.9660588063995496,0.4477545575346895,True
R_control,R_control_preguard,0.9978188827606312,0.9978188827606312,0.4477545575346895,True
R_control,R_control_unbalanced,0.9995942076599964,0.9995942076599964,0.4477545575346895,True
R_control,R_harm,0.79353980100682,0.79353980100682,0.4477545575346895,True
R_control,R_harm_at_post,0.86523006384128,0.86523006384128,0.4477545575346895,True
R_control,R_harm_user,0.7956812419915276,0.7956812419915276,0.4477545575346895,True
R_control_harmless,R_control_preguard,0.9579567476184032,0.9579567476184032,0.4477545575346895,True
R_control_harmless,R_control_unbalanced,0.9627170328168401,0.9627170328168401,0.4477545575346895,True
R_control_harmless,R_harm,0.7394115861484074,0.7394115861484074,0.4477545575346895,True
R_control_harmless,R_harm_at_post,0.7985789741215338,0.7985789741215338,0.4477545575346895,True
R_control_harmless,R_harm_user,0.7406752568195833,0.7406752568195833,0.4477545575346895,True
R_control_preguard,R_control_unbalanced,0.9973968793380326,0.9973968793380326,0.4477545575346895,True
R_control_preguard,R_harm,0.7961573975331346,0.7961573975331346,0.4477545575346895,True
R_control_preguard,R_harm_at_post,0.8793389444892906,0.8793389444892906,0.4477545575346895,True
R_control_preguard,R_harm_user,0.7972538161169977,0.7972538161169977,0.4477545575346895,True
R_control_unbalanced,R_harm,0.7951421340862503,0.7951421340862503,0.4477545575346895,True
R_control_unbalanced,R_harm_at_post,0.8658361884832704,0.8658361884832704,0.4477545575346895,True
R_control_unbalanced,R_harm_user,0.7981863904592721,0.7981863904592721,0.4477545575346895,True
R_harm,R_harm_at_post,0.8157677228259379,0.8157677228259379,0.4477545575346895,True
R_harm,R_harm_user,0.9973932245842602,0.9973932245842602,0.4477545575346895,True
R_harm_at_post,R_harm_user,0.8104677447035344,0.8104677447035344,0.4477545575346895,True
