layer,relative_depth,train_accuracy,accuracy,acc_ci_low,acc_ci_high,chance,n_test_instructions,auc_tool_user,auc_ci_low_tool_user,auc_ci_high_tool_user,cos_probe_vs_dom_tool_user,auc_matched_tool_user,auc_matched_ci_low_tool_user,auc_matched_ci_high_tool_user,length_matched_auc_tool_user,auc_system_user,auc_ci_low_system_user,auc_ci_high_system_user,cos_probe_vs_dom_system_user,auc_matched_system_user,auc_matched_ci_low_system_user,auc_matched_ci_high_system_user,length_matched_auc_system_user,auc_assistant_user,auc_ci_low_assistant_user,auc_ci_high_assistant_user,cos_probe_vs_dom_assistant_user,auc_matched_assistant_user,auc_matched_ci_low_assistant_user,auc_matched_ci_high_assistant_user,length_matched_auc_assistant_user
0,0.0,0.9446262668918919,0.884111253196931,0.8691906929016113,0.8999744057655334,0.25,100,0.8854660391807556,0.8719815015792847,0.8988662362098694,0.884631872177124,0.7067831158638,0.6597801446914673,0.7563545107841492,0.521753191947937,0.8199338912963867,0.8021432161331177,0.8386558294296265,0.7915263175964355,0.8379462361335754,0.8147993087768555,0.8597592115402222,0.5008782148361206,0.7422112822532654,0.7289310097694397,0.7571679353713989,0.9077569842338562,0.6492845416069031,0.6312186121940613,0.6673048734664917,0.5006822347640991
1,0.037,0.9832664695945946,0.9450127877237852,0.9333638548851013,0.9567101001739502,0.25,100,0.7361579537391663,0.72310870885849,0.750132143497467,0.7664166688919067,0.7652959823608398,0.7220611572265625,0.8080893158912659,0.521753191947937,0.7605130672454834,0.7457452416419983,0.7768346667289734,0.6668597459793091,0.8972572088241577,0.8778215646743774,0.9154856204986572,0.5008782148361206,0.6967134475708008,0.6821544170379639,0.7119621634483337,0.8096683621406555,0.6279704570770264,0.6104457974433899,0.6467461585998535,0.5006822347640991
2,0.0741,0.985325168918919,0.9384590792838875,0.9260697960853577,0.9504219889640808,0.25,100,0.878171980381012,0.8648087978363037,0.8923313617706299,0.8018606901168823,0.7798962593078613,0.7387704253196716,0.819052517414093,0.521753191947937,0.9407063126564026,0.9292327165603638,0.9520355463027954,0.7422826886177063,0.9561212062835693,0.9448856711387634,0.965798020362854,0.5008782148361206,0.7476423382759094,0.7317647337913513,0.7647103667259216,0.7873861789703369,0.6529963612556458,0.6367961168289185,0.6709089279174805,0.5006822347640991
3,0.1111,0.9891258445945946,0.9221547314578005,0.9064485430717468,0.9373441338539124,0.25,100,0.9358328580856323,0.92295241355896,0.9483569264411926,0.7810537815093994,0.7966694235801697,0.7557150721549988,0.8373110294342041,0.521753191947937,0.9866620302200317,0.9806661009788513,0.9914202690124512,0.6792187094688416,0.9669462442398071,0.9564207196235657,0.9761203527450562,0.5008782148361206,0.7667372822761536,0.7494213581085205,0.7842018008232117,0.7114732265472412,0.6429804563522339,0.6258428692817688,0.6617280840873718,0.5006822347640991
4,0.1481,0.9947740709459459,0.9341432225063938,0.9202792048454285,0.9476791024208069,0.25,100,0.9357494711875916,0.9226369261741638,0.9484571814537048,0.7224828004837036,0.8409255146980286,0.8045048117637634,0.8759216070175171,0.521753191947937,0.9574963450431824,0.9466790556907654,0.9665442109107971,0.6690669059753418,0.9661952257156372,0.9542556405067444,0.976198673248291,0.5008782148361206,0.7951356172561646,0.7800533175468445,0.8114578723907471,0.6813689470291138,0.6797528862953186,0.6638551354408264,0.6966282725334167,0.5006822347640991
5,0.1852,0.9943517736486487,0.9282289002557544,0.9144842028617859,0.9410558342933655,0.25,100,0.9646146297454834,0.9537387490272522,0.9736865162849426,0.7030831575393677,0.8652822375297546,0.8300174474716187,0.8975238800048828,0.521753191947937,0.9328223466873169,0.9202737808227539,0.9433850049972534,0.6355613470077515,0.9606966376304626,0.947432816028595,0.9715332984924316,0.5008782148361206,0.8275055289268494,0.8169165253639221,0.8386247158050537,0.6617845296859741,0.6604398488998413,0.6443073153495789,0.677264928817749,0.5006822347640991
6,0.2222,0.9987331081081081,0.947730179028133,0.9345384836196899,0.9601408839225769,0.25,100,0.9626155495643616,0.9518381953239441,0.9724004864692688,0.7147536873817444,0.8760349154472351,0.8443214893341064,0.9064311981201172,0.521753191947937,0.8854550123214722,0.8699050545692444,0.9009766578674316,0.6221292018890381,0.9026678204536438,0.8876535892486572,0.9189561605453491,0.5008782148361206,0.9005541801452637,0.8870840668678284,0.9149346947669983,0.70949387550354,0.7854940891265869,0.769130527973175,0.8038794994354248,0.5006822347640991
7,0.2593,0.9986803209459459,0.9418158567774936,0.9290753602981567,0.9539735317230225,0.25,100,0.9579705595970154,0.9473432898521423,0.9680178165435791,0.6899328231811523,0.8546497821807861,0.8196220993995667,0.8891834616661072,0.521753191947937,0.7688161134719849,0.7534683346748352,0.7868695855140686,0.5513117909431458,0.8205346465110779,0.8003572821617126,0.8423722982406616,0.5008782148361206,0.849918007850647,0.8349140286445618,0.8646441698074341,0.6476154327392578,0.77921062707901,0.7626808285713196,0.7970502972602844,0.5006822347640991
8,0.2963,0.9995777027027027,0.9502877237851662,0.9367629289627075,0.9622331261634827,0.25,100,0.9460949301719666,0.936107337474823,0.9561907052993774,0.6654844284057617,0.8555000424385071,0.8214699029922485,0.8871583342552185,0.521753191947937,0.7811900973320007,0.7655594348907471,0.799217164516449,0.5325118899345398,0.8126012086868286,0.7922396063804626,0.8336508274078369,0.5008782148361206,0.7731642723083496,0.7599583268165588,0.7870038747787476,0.6012098789215088,0.7527129054069519,0.7360081672668457,0.7699495553970337,0.5006822347640991
9,0.3333,0.9992609797297297,0.940537084398977,0.9267902970314026,0.9544287323951721,0.25,100,0.9596912860870361,0.9475589990615845,0.9706960320472717,0.6694794297218323,0.8611855506896973,0.8256739974021912,0.8932063579559326,0.521753191947937,0.7689228057861328,0.75259929895401,0.7872609496116638,0.5150832533836365,0.8106254935264587,0.7869734764099121,0.8345754146575928,0.5008782148361206,0.8012404441833496,0.7880805730819702,0.8147839307785034,0.5818079113960266,0.737952709197998,0.7226743102073669,0.7535050511360168,0.5006822347640991
