model,arm,position,layer,relative_depth,tag_contrast,register_contrast,cos_tag_register,tag_split_half,register_split_half,floor,distinct
qwen2.5-7b,generated,t_inst,0,0.0,tool_vs_user,system_register_vs_tool_register,0.12708063423633575,0.9671295881271362,0.996780514717102,0.9671295881271362,True
qwen2.5-7b,generated,t_inst,0,0.0,tool_vs_user,system_register_vs_user_register,0.10028740763664246,0.9671295881271362,0.975472629070282,0.9671295881271362,True
qwen2.5-7b,generated,t_inst,0,0.0,tool_vs_user,tool_register_vs_user_register,0.08777780830860138,0.9671295881271362,0.9954959154129028,0.9671295881271362,True
qwen2.5-7b,generated,t_inst,0,0.0,system_vs_user,system_register_vs_tool_register,0.054028693586587906,0.28267398476600647,0.996780514717102,0.28267398476600647,True
qwen2.5-7b,generated,t_inst,0,0.0,system_vs_user,system_register_vs_user_register,0.03587699681520462,0.28267398476600647,0.975472629070282,0.28267398476600647,True
qwen2.5-7b,generated,t_inst,0,0.0,system_vs_user,tool_register_vs_user_register,0.03994210436940193,0.28267398476600647,0.9954959154129028,0.28267398476600647,True
qwen2.5-7b,generated,t_inst,0,0.0,assistant_vs_user,system_register_vs_tool_register,0.011589353904128075,-0.9176934361457825,0.996780514717102,-0.9176934361457825,False
qwen2.5-7b,generated,t_inst,0,0.0,assistant_vs_user,system_register_vs_user_register,0.07517966628074646,-0.9176934361457825,0.975472629070282,-0.9176934361457825,False
qwen2.5-7b,generated,t_inst,0,0.0,assistant_vs_user,tool_register_vs_user_register,0.01761644519865513,-0.9176934361457825,0.9954959154129028,-0.9176934361457825,False
qwen2.5-7b,generated,t_inst,1,0.037,tool_vs_user,system_register_vs_tool_register,0.04804060608148575,0.9510968923568726,0.9965068697929382,0.9510968923568726,True
qwen2.5-7b,generated,t_inst,1,0.037,tool_vs_user,system_register_vs_user_register,0.011600320227444172,0.9510968923568726,0.9782260656356812,0.9510968923568726,True
qwen2.5-7b,generated,t_inst,1,0.037,tool_vs_user,tool_register_vs_user_register,0.05709369480609894,0.9510968923568726,0.9949991106987,0.9510968923568726,True
qwen2.5-7b,generated,t_inst,1,0.037,system_vs_user,system_register_vs_tool_register,0.22024564445018768,0.8251876831054688,0.9965068697929382,0.8251876831054688,True
