model,concept,factor,level_a,level_b,layer,cosine,split_half_floor,at_floor
qwen2.5-7b,R_role_tool_vs_user,source,advbench,alpaca,12,0.8536883592605591,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,advbench,jbb,12,0.9740410447120667,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,advbench,sorry-bench,12,0.9203892946243286,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,advbench,xstest_safe,12,0.8305433392524719,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,alpaca,jbb,12,0.809836745262146,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,alpaca,sorry-bench,12,0.8820033073425293,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,alpaca,xstest_safe,12,0.9020164608955383,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,jbb,sorry-bench,12,0.9229037761688232,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,jbb,xstest_safe,12,0.8075441122055054,0.9873473942279816,False
qwen2.5-7b,R_role_tool_vs_user,source,sorry-bench,xstest_safe,12,0.8732842206954956,0.9873473942279816,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,advbench|xstest_safe,16,0.8551573753356934,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,jbb|alpaca,16,0.9251582026481628,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,jbb|xstest_safe,16,0.7718446254730225,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,sorry-bench|alpaca,16,0.24078026413917542,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,sorry-bench|xstest_safe,16,0.13802935183048248,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,jbb|alpaca,16,0.7827330231666565,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,jbb|xstest_safe,16,0.9403534531593323,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,sorry-bench|alpaca,16,0.04499899968504906,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,sorry-bench|xstest_safe,16,0.42822909355163574,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,jbb|alpaca,jbb|xstest_safe,16,0.8321226835250854,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,jbb|alpaca,sorry-bench|alpaca,16,0.23309734463691711,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,jbb|alpaca,sorry-bench|xstest_safe,16,0.12251876294612885,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,jbb|xstest_safe,sorry-bench|alpaca,16,0.02266128733754158,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,jbb|xstest_safe,sorry-bench|xstest_safe,16,0.4341263771057129,0.9873195141553879,False
qwen2.5-7b,R_harm,source_pair,sorry-bench|alpaca,sorry-bench|xstest_safe,16,0.5732532143592834,0.9873195141553879,False
qwen2.5-7b,R_harm,category,,Disinformation,16,0.7516095638275146,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Economic harm,16,0.819006085395813,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Expert advice,16,0.8327280282974243,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Fraud/Deception,16,0.7463457584381104,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Government decision-making,16,0.7845815420150757,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Harassment/Discrimination,16,0.755513072013855,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Malware/Hacking,16,0.8270221948623657,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Physical harm,16,0.7358708381652832,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Privacy,16,0.7050043940544128,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,Sexual/Adult content,16,0.7171967625617981,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat1,16,0.20415088534355164,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat10,16,0.25040221214294434,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat11,16,0.17138658463954926,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat12,16,0.20389562845230103,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat14,16,0.17622245848178864,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat22,16,0.21059761941432953,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat23,16,0.19889655709266663,0.9376655519008636,False
qwen2.5-7b,R_harm,category,,cat24,16,0.1997503936290741,0.9376655519008636,False
