model,contrast,position,layer,relative_depth,auc,auc_ci_low,auc_ci_high,n_test_instructions,length_only_auc,split_half_cos,n_train_harmful,n_train_harmless,published_auc,published_source
qwen2.5-7b,advbench vs alpaca,t_inst,0,0.0,0.9929412007331848,0.9711538553237915,1.0,42,0.521226704120636,0.9846180081367493,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,1,0.037,0.9983823299407959,0.9902940988540649,1.0,42,0.521226704120636,0.9855337142944336,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,2,0.0741,1.0,1.0,1.0,42,0.521226704120636,0.9805809259414673,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,3,0.1111,1.0,1.0,1.0,42,0.521226704120636,0.9750127792358398,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,4,0.1481,1.0,1.0,1.0,42,0.521226704120636,0.9779806137084961,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,5,0.1852,1.0,1.0,1.0,42,0.521226704120636,0.9813744425773621,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,6,0.2222,0.998235285282135,0.9894117712974548,1.0,42,0.521226704120636,0.9811593890190125,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,7,0.2593,0.9952940940856934,0.9771167039871216,1.0,42,0.521226704120636,0.9811625480651855,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,8,0.2963,0.9881250262260437,0.9531562328338623,1.0,42,0.521226704120636,0.9818848371505737,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,9,0.3333,0.9976470470428467,0.9858823418617249,1.0,42,0.521226704120636,0.9819245338439941,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,10,0.3704,0.9976470470428467,0.9858823418617249,1.0,42,0.521226704120636,0.981859564781189,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,11,0.4074,0.9976470470428467,0.9858823418617249,1.0,42,0.521226704120636,0.9825453758239746,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,12,0.4444,0.9976470470428467,0.9858823418617249,1.0,42,0.521226704120636,0.9833914637565613,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,13,0.4815,0.9979411959648132,0.9876470565795898,1.0,42,0.521226704120636,0.9840712547302246,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,14,0.5185,0.9998529553413391,0.9991176724433899,1.0,42,0.521226704120636,0.985308825969696,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,15,0.5556,1.0,1.0,1.0,42,0.521226704120636,0.9857400059700012,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,16,0.5926,1.0,1.0,1.0,42,0.521226704120636,0.9863664507865906,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,17,0.6296,1.0,1.0,1.0,42,0.521226704120636,0.9875272512435913,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,18,0.6667,1.0,1.0,1.0,42,0.521226704120636,0.988791823387146,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,19,0.7037,1.0,1.0,1.0,42,0.521226704120636,0.9893288612365723,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,20,0.7407,1.0,1.0,1.0,42,0.521226704120636,0.9891338348388672,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,21,0.7778,1.0,1.0,1.0,42,0.521226704120636,0.9887178540229797,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,22,0.8148,1.0,1.0,1.0,42,0.521226704120636,0.9877163171768188,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,23,0.8519,1.0,1.0,1.0,42,0.521226704120636,0.986005425453186,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,24,0.8889,1.0,1.0,1.0,42,0.521226704120636,0.9854881167411804,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,25,0.9259,1.0,1.0,1.0,42,0.521226704120636,0.9854642748832703,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,26,0.963,1.0,1.0,1.0,42,0.521226704120636,0.9843055605888367,400,600,,"Zhao et al., arXiv 2507.11878"
qwen2.5-7b,advbench vs alpaca,t_inst,27,1.0,1.0,1.0,1.0,42,0.521226704120636,0.987104594707489,400,600,,"Zhao et al., arXiv 2507.11878"
