model,kind,uid,source,harmful,split,role,design,n_tokens,content_tokens,t_inst,t_post_inst,slot_is_fixed
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,system,fixed_slot,47,8,32,46,False
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,user,fixed_slot,58,8,52,57,True
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,tool,fixed_slot,60,8,53,59,True
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,assistant,fixed_slot,58,8,52,57,True
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,system,natural_slot,47,8,32,46,False
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,user,natural_slot,49,8,43,48,False
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,tool,natural_slot,68,8,61,67,False
llama3.1-8b,fitting,22d86f50daae,advbench,True,test,assistant,natural_slot,58,8,52,57,False
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,system,fixed_slot,57,18,42,56,False
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,user,fixed_slot,68,18,62,67,True
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,tool,fixed_slot,71,18,64,70,True
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,assistant,fixed_slot,68,18,62,67,True
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,system,natural_slot,57,18,42,56,False
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,user,natural_slot,59,18,53,58,False
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,tool,natural_slot,79,18,72,78,False
llama3.1-8b,fitting,d02118ea2a73,jbb,True,test,assistant,natural_slot,68,18,62,67,False
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,system,fixed_slot,58,19,43,57,False
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,user,fixed_slot,69,19,63,68,True
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,tool,fixed_slot,71,19,65,70,True
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,assistant,fixed_slot,69,19,63,68,True
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,system,natural_slot,58,19,43,57,False
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,user,natural_slot,60,19,54,59,False
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,tool,natural_slot,79,19,73,78,False
llama3.1-8b,fitting,b3cfc3442251,sorry-bench,True,train,assistant,natural_slot,69,19,63,68,False
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,system,fixed_slot,48,9,33,47,False
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,user,fixed_slot,59,9,53,58,True
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,tool,fixed_slot,62,9,55,61,True
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,assistant,fixed_slot,59,9,53,58,True
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,system,natural_slot,48,9,33,47,False
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,user,natural_slot,50,9,44,49,False
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,tool,natural_slot,70,9,63,69,False
llama3.1-8b,fitting,57f955bb8e58,advbench,True,train,assistant,natural_slot,59,9,53,58,False
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,system,fixed_slot,54,15,39,53,False
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,user,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,tool,fixed_slot,68,15,61,67,True
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,assistant,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,system,natural_slot,54,15,39,53,False
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,user,natural_slot,56,15,50,55,False
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,tool,natural_slot,76,15,69,75,False
llama3.1-8b,fitting,bcc1a01ec76f,jbb,True,train,assistant,natural_slot,65,15,59,64,False
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,system,fixed_slot,53,14,38,52,False
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,user,fixed_slot,64,14,58,63,True
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,tool,fixed_slot,66,14,60,65,True
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,assistant,fixed_slot,64,14,58,63,True
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,system,natural_slot,53,14,38,52,False
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,user,natural_slot,55,14,49,54,False
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,tool,natural_slot,74,14,68,73,False
llama3.1-8b,fitting,ce9727c0c05e,sorry-bench,True,train,assistant,natural_slot,64,14,58,63,False
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,system,fixed_slot,53,14,38,52,False
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,user,fixed_slot,64,14,58,63,True
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,tool,fixed_slot,67,14,60,66,True
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,assistant,fixed_slot,64,14,58,63,True
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,system,natural_slot,53,14,38,52,False
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,user,natural_slot,55,14,49,54,False
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,tool,natural_slot,75,14,68,74,False
llama3.1-8b,fitting,44bf7cbdcd86,advbench,True,train,assistant,natural_slot,64,14,58,63,False
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,system,fixed_slot,57,18,42,56,False
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,user,fixed_slot,68,18,62,67,True
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,tool,fixed_slot,71,18,64,70,True
