model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen3.5-9b,A,1,0.0323,R_harm,1.0,0.002459797542542219,0.14980468153953552
qwen3.5-9b,A,1,0.0323,R_harm,-1.0,0.0022943206131458282,-0.15078124403953552
qwen3.5-9b,A,1,0.0323,R_control,1.0,0.0010510380379855633,0.07832030951976776
qwen3.5-9b,A,1,0.0323,R_control,-1.0,0.00116456369869411,-0.05878906324505806
qwen3.5-9b,A,1,0.0323,R_role,1.0,0.0277935229241848,-0.18300780653953552
qwen3.5-9b,A,1,0.0323,R_role,-1.0,0.02483079954981804,-0.318359375
qwen3.5-9b,A,2,0.0645,R_harm,1.0,0.002991992514580488,0.04179687425494194
qwen3.5-9b,A,2,0.0645,R_harm,-1.0,0.0032119429670274258,-0.06601562350988388
qwen3.5-9b,A,2,0.0645,R_control,1.0,0.0016492616850882769,-0.03789062425494194
qwen3.5-9b,A,2,0.0645,R_control,-1.0,0.0013567011337727308,0.05234374850988388
qwen3.5-9b,A,2,0.0645,R_role,1.0,0.03534497693181038,-0.8169921636581421
qwen3.5-9b,A,2,0.0645,R_role,-1.0,0.022112157195806503,0.140625
qwen3.5-9b,A,3,0.0968,R_harm,1.0,0.005565396510064602,0.232421875
qwen3.5-9b,A,3,0.0968,R_harm,-1.0,0.006514367647469044,-0.24472656846046448
qwen3.5-9b,A,3,0.0968,R_control,1.0,0.0027790539897978306,-0.21308593451976776
qwen3.5-9b,A,3,0.0968,R_control,-1.0,0.0024379894603043795,0.18339844048023224
qwen3.5-9b,A,3,0.0968,R_role,1.0,0.05452203005552292,-1.076757788658142
qwen3.5-9b,A,3,0.0968,R_role,-1.0,0.04133569076657295,0.4078125059604645
qwen3.5-9b,A,4,0.129,R_harm,1.0,0.011811180971562862,0.14882811903953552
qwen3.5-9b,A,4,0.129,R_harm,-1.0,0.015720391646027565,-0.3134765625
qwen3.5-9b,A,4,0.129,R_control,1.0,0.00341208977624774,-0.09375
qwen3.5-9b,A,4,0.129,R_control,-1.0,0.0032401825301349163,0.04667968675494194
qwen3.5-9b,A,4,0.129,R_role,1.0,0.09605369716882706,-1.9228515625
qwen3.5-9b,A,4,0.129,R_role,-1.0,0.07986126840114594,1.120507836341858
qwen3.5-9b,A,5,0.1613,R_harm,1.0,0.010481564328074455,0.01171875
qwen3.5-9b,A,5,0.1613,R_harm,-1.0,0.01666952297091484,-0.12753906846046448
qwen3.5-9b,A,5,0.1613,R_control,1.0,0.002341630170121789,-0.11855468899011612
qwen3.5-9b,A,5,0.1613,R_control,-1.0,0.0021846159361302853,0.09941406548023224
qwen3.5-9b,A,5,0.1613,R_role,1.0,0.1133749857544899,-1.9103515148162842
qwen3.5-9b,A,5,0.1613,R_role,-1.0,0.08178235590457916,1.021093726158142
qwen3.5-9b,A,6,0.1935,R_harm,1.0,0.007996765896677971,0.13300780951976776
qwen3.5-9b,A,6,0.1935,R_harm,-1.0,0.011851796880364418,-0.14335937798023224
qwen3.5-9b,A,6,0.1935,R_control,1.0,0.0034229985903948545,-0.08671875298023224
qwen3.5-9b,A,6,0.1935,R_control,-1.0,0.0023314442951232195,0.08320312201976776
qwen3.5-9b,A,6,0.1935,R_role,1.0,0.07980571687221527,-1.0244140625
qwen3.5-9b,A,6,0.1935,R_role,-1.0,0.0947544127702713,0.543749988079071
qwen3.5-9b,A,7,0.2258,R_harm,1.0,0.025793898850679398,0.34687501192092896
qwen3.5-9b,A,7,0.2258,R_harm,-1.0,0.03868446499109268,-0.4906249940395355
qwen3.5-9b,A,7,0.2258,R_control,1.0,0.006451635155826807,-0.1826171875
qwen3.5-9b,A,7,0.2258,R_control,-1.0,0.0057315039448440075,0.07734374701976776
qwen3.5-9b,A,7,0.2258,R_role,1.0,0.14496195316314697,-2.3759765625
qwen3.5-9b,A,7,0.2258,R_role,-1.0,0.10308786481618881,1.1691405773162842
qwen3.5-9b,A,8,0.2581,R_harm,1.0,0.037933461368083954,0.18808594346046448
qwen3.5-9b,A,8,0.2581,R_harm,-1.0,0.04039742797613144,-0.3646484315395355
qwen3.5-9b,A,8,0.2581,R_control,1.0,0.008988297544419765,-0.10683593899011612
qwen3.5-9b,A,8,0.2581,R_control,-1.0,0.009731903672218323,0.04374999925494194
qwen3.5-9b,A,8,0.2581,R_role,1.0,0.2003924399614334,-2.078320264816284
qwen3.5-9b,A,8,0.2581,R_role,-1.0,0.09945221990346909,1.5417969226837158
qwen3.5-9b,A,9,0.2903,R_harm,1.0,0.04656503349542618,0.7464843988418579
qwen3.5-9b,A,9,0.2903,R_harm,-1.0,0.060418643057346344,-0.8101562261581421
qwen3.5-9b,A,9,0.2903,R_control,1.0,0.020112615078687668,-0.22597655653953552
qwen3.5-9b,A,9,0.2903,R_control,-1.0,0.014382019639015198,0.13632813096046448
