model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,margin_shift,class_gap
qwen3.5-9b,C,7,8,R_harm,R_harm,0.25,0.25,0.22859810292720795,0.22611326575279236,0.23115518502891064,0.0,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,0.25,0.25,-0.04613785445690155,-0.048557234555482866,-0.04358758516609669,-0.0040000081062316895,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,0.25,0.25,-0.022871684283018112,-0.02355825211852789,-0.02219609310850501,0.012400001287460327,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,0.25,0.25,0.00605541467666626,0.0038743367476854473,0.008335032337345182,-0.000800013542175293,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,0.25,0.25,0.0023658161517232656,-0.0007261241931701079,0.005628253112081436,0.0004000067710876465,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,0.25,0.25,-0.00901694968342781,-0.012323818006552755,-0.005425930803176016,-0.004799962043762207,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,0.25,0.25,0.005928863305598497,0.004164596588816493,0.007841175724752247,-0.0004000067710876465,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,0.25,0.25,0.0061124954372644424,0.0038584167428780346,0.008924356452189385,-0.0003999471664428711,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,0.25,0.25,-0.0014199190773069859,-0.004924947628751397,0.002088050538441162,-0.008399993181228638,0.002966211410239339,0.005591117311269045,0.002581307679065503,2.1660018898999156,0.11500000208616257,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-0.25,0.25,-0.23060674965381622,-0.23276206888258458,-0.2285149149596691,0.0,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-0.25,0.25,0.04269728064537048,0.040163588244467974,0.045169366616755725,0.0007999837398529053,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-0.25,0.25,0.024201707914471626,0.023628974333405495,0.024830581713467838,-0.010800004005432129,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-0.25,0.25,-0.006799004040658474,-0.009255622886121273,-0.004399235965684057,0.000800013542175293,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-0.25,0.25,-0.003672889433801174,-0.007298629230353982,-0.00025128847482847137,0.0020000338554382324,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-0.25,0.25,0.00565386051312089,0.002006326516857371,0.008864958793856195,0.016000032424926758,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-0.25,0.25,-0.006094136741012335,-0.008259424520656467,-0.004254128714092076,0.0,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-0.25,0.25,-0.006610449403524399,-0.01007712425198406,-0.0038098427467048194,0.0012000203132629395,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,-0.25,0.25,0.001467737602069974,-0.002735162910539657,0.005435338569805026,0.004399985074996948,0.003470000810921192,0.006633984390646219,0.002581307679065503,2.570009164133384,-0.10656250268220901,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,0.5,0.5,0.4489699602127075,0.4441135339438915,0.45398789644241333,0.0,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,0.5,0.5,-0.0859854519367218,-0.09043045938014985,-0.08116055373102427,-0.005200028419494629,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,0.5,0.5,-0.04519270732998848,-0.04649102920666337,-0.04396804198622704,0.01759999990463257,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,0.5,0.5,0.010885681957006454,0.006625285022892058,0.015268228272907431,-0.000800013542175293,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,0.5,0.5,0.002960678655654192,-0.0031500313547439874,0.009195188805460929,-0.0023999810218811035,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,0.5,0.5,-0.019630616530776024,-0.02490984103642404,-0.014080114802345636,-0.014399945735931396,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,0.5,0.5,0.011097176931798458,0.007925489917397499,0.014846041891723871,-0.0012000203132629395,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,0.5,0.5,0.010908124037086964,0.006625209341291338,0.016191411111503837,-0.0015999674797058105,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,0.5,0.5,-0.0030531869269907475,-0.00928245873656124,0.0031226407329086165,-0.010800004005432129,0.009221580810844898,0.017670832574367523,0.00842802636907436,2.096675045916864,0.22312499582767487,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-0.5,0.5,-0.4575425982475281,-0.4609858088195324,-0.45404682382941247,-0.000800013542175293,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-0.5,0.5,0.0743909627199173,0.06961787734180688,0.0787980616092682,0.004399985074996948,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-0.5,0.5,0.049758125096559525,0.04864523569121957,0.05091678192839026,-0.020799994468688965,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-0.5,0.5,-0.014345517382025719,-0.019249944807961585,-0.00965936281718314,0.0012000203132629395,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-0.5,0.5,-0.008515493012964725,-0.015687773656100034,-0.0017946203675819575,0.0031999945640563965,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-0.5,0.5,0.01061923149973154,0.004175484518054873,0.016584465373307464,0.026800036430358887,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-0.5,0.5,-0.012406907044351101,-0.016346991527825594,-0.008970330469310285,0.0012000203132629395,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-0.5,0.5,-0.013218780979514122,-0.0197443881072104,-0.008073144895024599,0.0020000338554382324,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,-0.5,0.5,0.0021918348502367735,-0.005591843626461923,0.009577638190239657,0.012400001287460327,0.01343542616814375,0.026043415069580078,0.00842802636907436,3.0900965337677744,-0.25312501192092896,60.2837028503418
