concept_a,concept_b,layer,relative_depth,cosine,abs_cosine,null_p97_5,split_half_floor,beyond_null,position_a,position_b,same_position
R_control_harmless,R_control_preguard,0,0.0,-0.1689717322587967,0.1689717322587967,0.029401296749711037,0.4370768070220947,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,1,0.0323,0.1674387902021408,0.1674387902021408,0.029401296749711037,0.5746245384216309,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,2,0.0645,0.2584058940410614,0.2584058940410614,0.029401296749711037,0.532403826713562,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,3,0.0968,0.23543334007263184,0.23543334007263184,0.029401296749711037,0.5263203978538513,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,4,0.129,0.2290496826171875,0.2290496826171875,0.029401296749711037,0.5705342292785645,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,5,0.1613,0.2698139548301697,0.2698139548301697,0.029401296749711037,0.5934829115867615,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,6,0.1935,0.2673054337501526,0.2673054337501526,0.029401296749711037,0.6263803839683533,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,7,0.2258,0.2592853307723999,0.2592853307723999,0.029401296749711037,0.6805707216262817,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,8,0.2581,0.29365450143814087,0.29365450143814087,0.029401296749711037,0.7156590819358826,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,9,0.2903,0.3908914625644684,0.3908914625644684,0.029401296749711037,0.7488994002342224,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,10,0.3226,0.5098899602890015,0.5098899602890015,0.029401296749711037,0.7735151052474976,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,11,0.3548,0.6550217270851135,0.6550217270851135,0.029401296749711037,0.8714947700500488,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,12,0.3871,0.744092583656311,0.744092583656311,0.029401296749711037,0.9111163020133972,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,13,0.4194,0.7373454570770264,0.7373454570770264,0.029401296749711037,0.9222758412361144,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,14,0.4516,0.7451708912849426,0.7451708912849426,0.029401296749711037,0.9242736101150512,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,15,0.4839,0.6996201276779175,0.6996201276779175,0.029401296749711037,0.9319589734077454,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,16,0.5161,0.6593838930130005,0.6593838930130005,0.029401296749711037,0.9359189867973328,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,17,0.5484,0.6592422127723694,0.6592422127723694,0.029401296749711037,0.9383619427680968,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,18,0.5806,0.6485292315483093,0.6485292315483093,0.029401296749711037,0.9394214749336244,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,19,0.6129,0.633112907409668,0.633112907409668,0.029401296749711037,0.9477901458740234,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,20,0.6452,0.6390079855918884,0.6390079855918884,0.029401296749711037,0.9514010548591614,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,21,0.6774,0.613020658493042,0.613020658493042,0.029401296749711037,0.9508455395698548,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,22,0.7097,0.6010432243347168,0.6010432243347168,0.029401296749711037,0.9537132382392884,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,23,0.7419,0.5986948609352112,0.5986948609352112,0.029401296749711037,0.9462960958480836,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,24,0.7742,0.6078061461448669,0.6078061461448669,0.029401296749711037,0.9441182017326356,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,25,0.8065,0.5874038934707642,0.5874038934707642,0.029401296749711037,0.9404407739639282,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,26,0.8387,0.5628427863121033,0.5628427863121033,0.029401296749711037,0.9360135793685912,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,27,0.871,0.5775816440582275,0.5775816440582275,0.029401296749711037,0.93154776096344,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,28,0.9032,0.6140550374984741,0.6140550374984741,0.029401296749711037,0.9380781054496764,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,29,0.9355,0.5987045168876648,0.5987045168876648,0.029401296749711037,0.9342635273933412,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,30,0.9677,0.5873311161994934,0.5873311161994934,0.029401296749711037,0.9309350848197936,True,t_post_inst,t_post_inst,True
R_control_harmless,R_control_preguard,31,1.0,0.5181667804718018,0.5181667804718018,0.029401296749711037,0.9133211374282836,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm,0,0.0,-0.2754306197166443,0.2754306197166443,0.029401296749711037,0.5619450807571411,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,1,0.0323,-0.2146955132484436,0.2146955132484436,0.029401296749711037,0.7190729975700378,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,2,0.0645,-0.2100573033094406,0.2100573033094406,0.029401296749711037,0.7281871438026428,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,3,0.0968,-0.03301779925823212,0.03301779925823212,0.029401296749711037,0.7522071003913879,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,4,0.129,-0.040342312306165695,0.040342312306165695,0.029401296749711037,0.7544872164726257,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,5,0.1613,0.010278221219778061,0.010278221219778061,0.029401296749711037,0.7491363286972046,False,t_post_inst,t_inst,False
R_control_harmless,R_harm,6,0.1935,0.02826118841767311,0.02826118841767311,0.029401296749711037,0.7403454184532166,False,t_post_inst,t_inst,False
R_control_harmless,R_harm,7,0.2258,0.0405450314283371,0.0405450314283371,0.029401296749711037,0.7624374628067017,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,8,0.2581,0.03030461259186268,0.03030461259186268,0.029401296749711037,0.7749667763710022,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,9,0.2903,0.06503672152757645,0.06503672152757645,0.029401296749711037,0.8042399287223816,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,10,0.3226,0.0676129162311554,0.0676129162311554,0.029401296749711037,0.8306758999824524,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,11,0.3548,0.08335669338703156,0.08335669338703156,0.029401296749711037,0.8781849145889282,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,12,0.3871,0.09849527478218079,0.09849527478218079,0.029401296749711037,0.9111163020133972,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,13,0.4194,0.1331384927034378,0.1331384927034378,0.029401296749711037,0.9222758412361144,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,14,0.4516,0.0959518626332283,0.0959518626332283,0.029401296749711037,0.9242736101150512,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,15,0.4839,0.10765855014324188,0.10765855014324188,0.029401296749711037,0.9319589734077454,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,16,0.5161,0.1347069889307022,0.1347069889307022,0.029401296749711037,0.9405256509780884,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,17,0.5484,0.1484309732913971,0.1484309732913971,0.029401296749711037,0.9473454356193542,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,18,0.5806,0.1607251763343811,0.1607251763343811,0.029401296749711037,0.9538916349411012,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,19,0.6129,0.18001201748847961,0.18001201748847961,0.029401296749711037,0.9509928822517396,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,20,0.6452,0.16428439319133759,0.16428439319133759,0.029401296749711037,0.9520844221115112,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,21,0.6774,0.15327034890651703,0.15327034890651703,0.029401296749711037,0.9508455395698548,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,22,0.7097,0.15708482265472412,0.15708482265472412,0.029401296749711037,0.9537132382392884,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,23,0.7419,0.13853585720062256,0.13853585720062256,0.029401296749711037,0.9462960958480836,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,24,0.7742,0.1432337462902069,0.1432337462902069,0.029401296749711037,0.9441182017326356,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,25,0.8065,0.14541950821876526,0.14541950821876526,0.029401296749711037,0.9404407739639282,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,26,0.8387,0.11826964467763901,0.11826964467763901,0.029401296749711037,0.9360135793685912,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,27,0.871,0.12274782359600067,0.12274782359600067,0.029401296749711037,0.93154776096344,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,28,0.9032,0.12607912719249725,0.12607912719249725,0.029401296749711037,0.9380781054496764,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,29,0.9355,0.12843935191631317,0.12843935191631317,0.029401296749711037,0.9342635273933412,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,30,0.9677,0.1255020946264267,0.1255020946264267,0.029401296749711037,0.9309350848197936,True,t_post_inst,t_inst,False
R_control_harmless,R_harm,31,1.0,0.14249180257320404,0.14249180257320404,0.029401296749711037,0.9133211374282836,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_at_post,0,0.0,-0.24432586133480072,0.24432586133480072,0.029401296749711037,0.5619450807571411,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,1,0.0323,-0.02973742038011551,0.02973742038011551,0.029401296749711037,0.7190729975700378,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,2,0.0645,-0.01061941497027874,0.01061941497027874,0.029401296749711037,0.7281871438026428,False,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,3,0.0968,-0.13000252842903137,0.13000252842903137,0.029401296749711037,0.7522071003913879,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,4,0.129,-0.1430877149105072,0.1430877149105072,0.029401296749711037,0.7544872164726257,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,5,0.1613,-0.12908481061458588,0.12908481061458588,0.029401296749711037,0.7491363286972046,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,6,0.1935,-0.1204330176115036,0.1204330176115036,0.029401296749711037,0.7403454184532166,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,7,0.2258,-0.016950540244579315,0.016950540244579315,0.029401296749711037,0.7624374628067017,False,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,8,0.2581,-0.06570522487163544,0.06570522487163544,0.029401296749711037,0.7749667763710022,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,9,0.2903,0.10184785723686218,0.10184785723686218,0.029401296749711037,0.8042399287223816,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,10,0.3226,0.2792122960090637,0.2792122960090637,0.029401296749711037,0.8306758999824524,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,11,0.3548,0.5163075923919678,0.5163075923919678,0.029401296749711037,0.8781849145889282,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,12,0.3871,0.6633731126785278,0.6633731126785278,0.029401296749711037,0.9111163020133972,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,13,0.4194,0.7376338243484497,0.7376338243484497,0.029401296749711037,0.9222758412361144,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,14,0.4516,0.7406264543533325,0.7406264543533325,0.029401296749711037,0.9242736101150512,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,15,0.4839,0.7764275074005127,0.7764275074005127,0.029401296749711037,0.9319589734077454,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,16,0.5161,0.7864116430282593,0.7864116430282593,0.029401296749711037,0.9405256509780884,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,17,0.5484,0.8047362565994263,0.8047362565994263,0.029401296749711037,0.9473454356193542,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,18,0.5806,0.8149543404579163,0.8149543404579163,0.029401296749711037,0.9538916349411012,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,19,0.6129,0.7815818786621094,0.7815818786621094,0.029401296749711037,0.9509928822517396,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,20,0.6452,0.782405436038971,0.782405436038971,0.029401296749711037,0.9520844221115112,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,21,0.6774,0.7598870396614075,0.7598870396614075,0.029401296749711037,0.9508455395698548,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,22,0.7097,0.7691211700439453,0.7691211700439453,0.029401296749711037,0.9537132382392884,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,23,0.7419,0.7543243169784546,0.7543243169784546,0.029401296749711037,0.9462960958480836,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,24,0.7742,0.7483328580856323,0.7483328580856323,0.029401296749711037,0.9441182017326356,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,25,0.8065,0.7295466661453247,0.7295466661453247,0.029401296749711037,0.9404407739639282,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,26,0.8387,0.7234278917312622,0.7234278917312622,0.029401296749711037,0.9360135793685912,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,27,0.871,0.7234135866165161,0.7234135866165161,0.029401296749711037,0.93154776096344,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,28,0.9032,0.7544314861297607,0.7544314861297607,0.029401296749711037,0.9380781054496764,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,29,0.9355,0.7419583797454834,0.7419583797454834,0.029401296749711037,0.9342635273933412,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,30,0.9677,0.7347591519355774,0.7347591519355774,0.029401296749711037,0.9309350848197936,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_at_post,31,1.0,0.6749035716056824,0.6749035716056824,0.029401296749711037,0.9133211374282836,True,t_post_inst,t_post_inst,True
R_control_harmless,R_harm_user,0,0.0,-0.27480146288871765,0.27480146288871765,0.029401296749711037,0.5619450807571411,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,1,0.0323,-0.20981745421886444,0.20981745421886444,0.029401296749711037,0.7190729975700378,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,2,0.0645,-0.16754306852817535,0.16754306852817535,0.029401296749711037,0.7281871438026428,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,3,0.0968,-0.027425499632954597,0.027425499632954597,0.029401296749711037,0.7522071003913879,False,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,4,0.129,-0.036002472043037415,0.036002472043037415,0.029401296749711037,0.7544872164726257,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,5,0.1613,0.020908262580633163,0.020908262580633163,0.029401296749711037,0.7491363286972046,False,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,6,0.1935,0.03978480026125908,0.03978480026125908,0.029401296749711037,0.7403454184532166,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,7,0.2258,0.04935082793235779,0.04935082793235779,0.029401296749711037,0.7624374628067017,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,8,0.2581,0.036369018256664276,0.036369018256664276,0.029401296749711037,0.7749667763710022,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,9,0.2903,0.06446631252765656,0.06446631252765656,0.029401296749711037,0.8042399287223816,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,10,0.3226,0.06807758659124374,0.06807758659124374,0.029401296749711037,0.8306758999824524,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,11,0.3548,0.08744816482067108,0.08744816482067108,0.029401296749711037,0.8781849145889282,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,12,0.3871,0.10173071175813675,0.10173071175813675,0.029401296749711037,0.9111163020133972,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,13,0.4194,0.12714678049087524,0.12714678049087524,0.029401296749711037,0.9222758412361144,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,14,0.4516,0.09396448731422424,0.09396448731422424,0.029401296749711037,0.9242736101150512,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,15,0.4839,0.10642903298139572,0.10642903298139572,0.029401296749711037,0.9319589734077454,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,16,0.5161,0.13119755685329437,0.13119755685329437,0.029401296749711037,0.9405256509780884,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,17,0.5484,0.1404849737882614,0.1404849737882614,0.029401296749711037,0.9473454356193542,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,18,0.5806,0.15402790904045105,0.15402790904045105,0.029401296749711037,0.9538916349411012,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,19,0.6129,0.17690344154834747,0.17690344154834747,0.029401296749711037,0.9509928822517396,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,20,0.6452,0.16248884797096252,0.16248884797096252,0.029401296749711037,0.9520844221115112,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,21,0.6774,0.14961040019989014,0.14961040019989014,0.029401296749711037,0.9508455395698548,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,22,0.7097,0.15352696180343628,0.15352696180343628,0.029401296749711037,0.9537132382392884,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,23,0.7419,0.13181935250759125,0.13181935250759125,0.029401296749711037,0.9462960958480836,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,24,0.7742,0.13717110455036163,0.13717110455036163,0.029401296749711037,0.9441182017326356,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,25,0.8065,0.1407986283302307,0.1407986283302307,0.029401296749711037,0.9404407739639282,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,26,0.8387,0.11156237125396729,0.11156237125396729,0.029401296749711037,0.9360135793685912,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,27,0.871,0.11504430323839188,0.11504430323839188,0.029401296749711037,0.93154776096344,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,28,0.9032,0.11447572708129883,0.11447572708129883,0.029401296749711037,0.9380781054496764,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,29,0.9355,0.11778102070093155,0.11778102070093155,0.029401296749711037,0.9342635273933412,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,30,0.9677,0.11539113521575928,0.11539113521575928,0.029401296749711037,0.9309350848197936,True,t_post_inst,t_inst,False
R_control_harmless,R_harm_user,31,1.0,0.13902857899665833,0.13902857899665833,0.029401296749711037,0.9133211374282836,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,0,0.0,-0.03157338500022888,0.03157338500022888,0.029401296749711037,0.5619450807571411,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,1,0.0323,0.1603003889322281,0.1603003889322281,0.029401296749711037,0.7190729975700378,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,2,0.0645,0.28067389130592346,0.28067389130592346,0.029401296749711037,0.7281871438026428,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,3,0.0968,0.0564032644033432,0.0564032644033432,0.029401296749711037,0.7522071003913879,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,4,0.129,0.08308080583810806,0.08308080583810806,0.029401296749711037,0.7544872164726257,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,5,0.1613,0.07286204397678375,0.07286204397678375,0.029401296749711037,0.7491363286972046,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,6,0.1935,0.1195666491985321,0.1195666491985321,0.029401296749711037,0.7403454184532166,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,7,0.2258,0.04790415242314339,0.04790415242314339,0.029401296749711037,0.7624374628067017,True,t_post_inst,t_inst,False
R_control_harmless,R_role_assistant_vs_user@t_inst,8,0.2581,0.04645282402634621,0.04645282402634621,0.029401296749711037,0.7749667763710022,True,t_post_inst,t_inst,False
