layer,relative_depth,train_accuracy,accuracy,acc_ci_low,acc_ci_high,chance,n_test_instructions,auc_tool_user,auc_ci_low_tool_user,auc_ci_high_tool_user,cos_probe_vs_dom_tool_user,auc_matched_tool_user,auc_matched_ci_low_tool_user,auc_matched_ci_high_tool_user,length_matched_auc_tool_user,auc_system_user,auc_ci_low_system_user,auc_ci_high_system_user,cos_probe_vs_dom_system_user,auc_matched_system_user,auc_matched_ci_low_system_user,auc_matched_ci_high_system_user,length_matched_auc_system_user,auc_assistant_user,auc_ci_low_assistant_user,auc_ci_high_assistant_user,cos_probe_vs_dom_assistant_user,auc_matched_assistant_user,auc_matched_ci_low_assistant_user,auc_matched_ci_high_assistant_user,length_matched_auc_assistant_user
0,0.0,0.8458614864864865,0.8214514066496164,0.8035837411880493,0.8392232656478882,0.25,100,0.7311180830001831,0.7178373336791992,0.7456014752388,0.9820123910903931,0.5976043343544006,0.562962532043457,0.6308130621910095,0.5130971670150757,0.6141169667243958,0.6003499627113342,0.6287989020347595,0.943385124206543,0.615591824054718,0.592341423034668,0.6405434608459473,0.49981802701950073,0.7983954548835754,0.7844098806381226,0.8122695684432983,0.983283519744873,0.6783947944641113,0.6499448418617249,0.7077689170837402,0.4993681311607361
1,0.0323,0.9037162162162162,0.8818734015345269,0.867244303226471,0.8969040513038635,0.25,100,0.6356104016304016,0.6211837530136108,0.6491456627845764,0.7274937629699707,0.6902270913124084,0.6631919741630554,0.7172185182571411,0.5130971670150757,0.8108447194099426,0.7972128391265869,0.8244828581809998,0.9794900417327881,0.5875059962272644,0.565956175327301,0.611277163028717,0.49981802701950073,0.6744898557662964,0.6597992777824402,0.6889628171920776,0.7596614956855774,0.6948052048683167,0.6651650667190552,0.7236675024032593,0.4993681311607361
2,0.0645,0.959934543918919,0.9381393861892583,0.9259359836578369,0.9498113393783569,0.25,100,0.7281509041786194,0.7120648622512817,0.7451062202453613,0.6645495891571045,0.7734147310256958,0.7479381561279297,0.7982562780380249,0.5130971670150757,0.8051633834838867,0.7857136130332947,0.8247931599617004,0.9243905544281006,0.674259603023529,0.6498008966445923,0.7007973790168762,0.49981802701950073,0.7801055312156677,0.7648462653160095,0.7966554760932922,0.7517344355583191,0.8382242321968079,0.816055178642273,0.8613898754119873,0.4993681311607361
3,0.0968,0.9552364864864865,0.9195971867007673,0.9052141904830933,0.9332482814788818,0.25,100,0.731158971786499,0.7163642048835754,0.7484188675880432,0.6976413726806641,0.7515810132026672,0.7230947017669678,0.7785245180130005,0.5130971670150757,0.9070363640785217,0.8916970491409302,0.9226803779602051,0.8837863206863403,0.700360119342804,0.6764357089996338,0.7258121371269226,0.49981802701950073,0.754859983921051,0.7377097010612488,0.7714625000953674,0.6878516674041748,0.7585762143135071,0.7324244976043701,0.7860570549964905,0.4993681311607361
4,0.129,0.9553420608108109,0.9135230179028133,0.8994877934455872,0.9272348284721375,0.25,100,0.7391692996025085,0.7233772277832031,0.7551641464233398,0.6498731970787048,0.7545728087425232,0.7282729148864746,0.7815365791320801,0.5130971670150757,0.7226637601852417,0.7059061527252197,0.7401286959648132,0.7848976850509644,0.6888176202774048,0.6652273535728455,0.7156246900558472,0.49981802701950073,0.770588755607605,0.75321364402771,0.7882287502288818,0.6679401993751526,0.7710250616073608,0.7439111471176147,0.7993766069412231,0.4993681311607361
5,0.1613,0.9787795608108109,0.9456521739130435,0.9323450326919556,0.9591017365455627,0.25,100,0.8286829590797424,0.8118590712547302,0.8466532230377197,0.6719093322753906,0.847280740737915,0.8208963871002197,0.8727176785469055,0.5130971670150757,0.8267316818237305,0.8091517686843872,0.8462563157081604,0.7609823942184448,0.777138888835907,0.7534494400024414,0.8019503355026245,0.49981802701950073,0.8969259858131409,0.8822975754737854,0.9118888974189758,0.7364410161972046,0.8906511664390564,0.8691074252128601,0.9124917984008789,0.4993681311607361
6,0.1935,0.9886507601351351,0.9566815856777494,0.9462456703186035,0.9669691324234009,0.25,100,0.8296849131584167,0.8142231702804565,0.8470094799995422,0.6747967004776001,0.8098353743553162,0.7813718914985657,0.8369296789169312,0.5130971670150757,0.7853665351867676,0.7701326608657837,0.8014146089553833,0.6814453601837158,0.7831080555915833,0.758788526058197,0.8067843317985535,0.49981802701950073,0.8971307873725891,0.8840259909629822,0.910980224609375,0.693757951259613,0.8750871419906616,0.8547289371490479,0.8951321244239807,0.4993681311607361
7,0.2258,0.9852723817567568,0.9429347826086957,0.9304635524749756,0.9553921222686768,0.25,100,0.8347403407096863,0.816276490688324,0.8547977209091187,0.6525050401687622,0.834791362285614,0.8050967454910278,0.8629910349845886,0.5130971670150757,0.7953044176101685,0.7777161002159119,0.8141604661941528,0.6490417718887329,0.7521460056304932,0.7280318140983582,0.7788902521133423,0.49981802701950073,0.9216673970222473,0.9090211391448975,0.9349944591522217,0.701111376285553,0.9149609208106995,0.8962627053260803,0.9340328574180603,0.4993681311607361
8,0.2581,0.9847972972972973,0.9359015345268542,0.9234388470649719,0.9481866955757141,0.25,100,0.8390063047409058,0.8205731511116028,0.8585507273674011,0.6627500057220459,0.8059210777282715,0.7737573981285095,0.8363991975784302,0.5130971670150757,0.7712023854255676,0.7540320158004761,0.7883471250534058,0.5958113670349121,0.7550657987594604,0.7298508882522583,0.7814075946807861,0.49981802701950073,0.9072743058204651,0.8938628435134888,0.9218562841415405,0.6853964328765869,0.9002408981323242,0.8795743584632874,0.9221250414848328,0.4993681311607361
9,0.2903,0.987331081081081,0.9406969309462916,0.9282283782958984,0.9530039429664612,0.25,100,0.8516399264335632,0.8357453942298889,0.869123637676239,0.6654588580131531,0.7968521118164062,0.7626416087150574,0.8293638229370117,0.5130971670150757,0.8079965114593506,0.7918462753295898,0.824660062789917,0.6312110424041748,0.7702133655548096,0.7451648712158203,0.7951408624649048,0.49981802701950073,0.9264640212059021,0.914950966835022,0.938647449016571,0.6857192516326904,0.9194060564041138,0.9030301570892334,0.9355759620666504,0.4993681311607361
